Preferred_name	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	diffexpressed	GOs
g1806	5.64986401010548e-30	-2.25889775229285	0.262	0.646	1.17059532425375e-25	apo	-
ANKS3	2.58205842662006e-24	3.74578807794168	0.387	0.05	5.34976685411411e-20	sym	GO:0008150,GO:0018996,GO:0022404,GO:0032501,GO:0042303,GO:0042395
GBA	8.51715237395009e-19	2.04107172943565	0.429	0.161	1.76466880035872e-14	sym	GO:0000323,GO:0001817,GO:0001818,GO:0001932,GO:0001933,GO:0003008,GO:0003674,GO:0003824,GO:0004348,GO:0004553,GO:0005102,GO:0005124,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005615,GO:0005622,GO:0005623,GO:0005737,GO:0005764,GO:0005765,GO:0005773,GO:0005774,GO:0005775,GO:0006066,GO:0006469,GO:0006629,GO:0006643,GO:0006664,GO:0006665,GO:0006670,GO:0006672,GO:0006677,GO:0006678,GO:0006680,GO:0006687,GO:0006807,GO:0006914,GO:0006950,GO:0006986,GO:0006996,GO:0007033,GO:0007154,GO:0007275,GO:0007568,GO:0007610,GO:0007611,GO:0007613,GO:0007626,GO:0008150,GO:0008152,GO:0008340,GO:0008344,GO:0008610,GO:0009056,GO:0009058,GO:0009267,GO:0009268,GO:0009410,GO:0009605,GO:0009628,GO:0009653,GO:0009719,GO:0009725,GO:0009887,GO:0009889,GO:0009891,GO:0009892,GO:0009893,GO:0009894,GO:0009896,GO:0009966,GO:0009968,GO:0009987,GO:0009991,GO:0010033,GO:0010259,GO:0010506,GO:0010508,GO:0010556,GO:0010557,GO:0010562,GO:0010563,GO:0010604,GO:0010605,GO:0010638,GO:0010646,GO:0010647,GO:0010648,GO:0010821,GO:0010822,GO:0010941,GO:0014070,GO:0016020,GO:0016042,GO:0016043,GO:0016137,GO:0016139,GO:0016236,GO:0016241,GO:0016787,GO:0016798,GO:0019220,GO:0019222,GO:0019377,GO:0019725,GO:0019751,GO:0019898,GO:0023021,GO:0023051,GO:0023056,GO:0023057,GO:0030104,GO:0030148,GO:0030149,GO:0030162,GO:0030534,GO:0031090,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031328,GO:0031329,GO:0031331,GO:0031333,GO:0031347,GO:0031348,GO:0031399,GO:0031400,GO:0031401,GO:0031644,GO:0031646,GO:0031667,GO:0031668,GO:0031669,GO:0031960,GO:0031974,GO:0032101,GO:0032102,GO:0032268,GO:0032269,GO:0032270,GO:0032434,GO:0032436,GO:0032459,GO:0032460,GO:0032462,GO:0032463,GO:0032501,GO:0032502,GO:0032675,GO:0032715,GO:0033043,GO:0033554,GO:0033561,GO:0033574,GO:0033673,GO:0033993,GO:0034097,GO:0034311,GO:0034312,GO:0034612,GO:0034620,GO:0034641,GO:0035303,GO:0035304,GO:0035306,GO:0035307,GO:0035966,GO:0035967,GO:0042176,GO:0042221,GO:0042325,GO:0042326,GO:0042391,GO:0042493,GO:0042592,GO:0042594,GO:0043086,GO:0043202,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043243,GO:0043244,GO:0043254,GO:0043405,GO:0043407,GO:0043408,GO:0043409,GO:0043549,GO:0043588,GO:0043589,GO:0043603,GO:0043604,GO:0043627,GO:0044057,GO:0044087,GO:0044092,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044249,GO:0044255,GO:0044271,GO:0044281,GO:0044283,GO:0044421,GO:0044422,GO:0044424,GO:0044425,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0045732,GO:0045760,GO:0045859,GO:0045862,GO:0045936,GO:0045937,GO:0046165,GO:0046173,GO:0046466,GO:0046467,GO:0046477,GO:0046479,GO:0046512,GO:0046513,GO:0046514,GO:0046519,GO:0046520,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048545,GO:0048583,GO:0048585,GO:0048731,GO:0048856,GO:0048871,GO:0048878,GO:0050727,GO:0050728,GO:0050746,GO:0050747,GO:0050789,GO:0050790,GO:0050794,GO:0050877,GO:0050878,GO:0050890,GO:0050891,GO:0050896,GO:0051128,GO:0051129,GO:0051130,GO:0051171,GO:0051172,GO:0051173,GO:0051174,GO:0051239,GO:0051240,GO:0051241,GO:0051246,GO:0051247,GO:0051248,GO:0051338,GO:0051348,GO:0051384,GO:0051716,GO:0051969,GO:0051971,GO:0060249,GO:0060255,GO:0060548,GO:0061136,GO:0061919,GO:0065007,GO:0065008,GO:0065009,GO:0070013,GO:0070050,GO:0070887,GO:0071310,GO:0071345,GO:0071356,GO:0071496,GO:0071548,GO:0071704,GO:0071840,GO:0071900,GO:0071901,GO:0080090,GO:0080134,GO:0097066,GO:0097164,GO:0097327,GO:0098588,GO:0098780,GO:0098805,GO:0098852,GO:0098900,GO:0098908,GO:1901135,GO:1901136,GO:1901214,GO:1901215,GO:1901564,GO:1901565,GO:1901566,GO:1901575,GO:1901576,GO:1901615,GO:1901617,GO:1901654,GO:1901657,GO:1901658,GO:1901700,GO:1901800,GO:1901804,GO:1901805,GO:1902531,GO:1902532,GO:1903050,GO:1903052,GO:1903059,GO:1903061,GO:1903146,GO:1903362,GO:1903364,GO:1903509,GO:1903599,GO:1904350,GO:1904457,GO:1904923,GO:1904925,GO:1905037,GO:1905165,GO:2000058,GO:2000060,GO:2000112
g16218	1.72698308626373e-15	1.57656204383231	0.476	0.238	3.57813625642982e-11	sym	-
g24461	2.40505632606536e-11	3.5859878304338	0.248	0.029	4.98303620197483e-07	sym	NA
g2185	5.11814744698039e-11	1.50528738143588	0.39	0.161	1.06042896953987e-06	sym	GO:0007275,GO:0007423,GO:0007444,GO:0008150,GO:0009888,GO:0022416,GO:0032501,GO:0032502,GO:0035220,GO:0035295,GO:0048513,GO:0048731,GO:0048856,GO:0060429
HNF4A	3.01146409397305e-10	2.60207582974693	0.242	0.077	6.23945245630276e-06	sym	GO:0000003,GO:0000062,GO:0000166,GO:0000976,GO:0000977,GO:0000978,GO:0000981,GO:0000982,GO:0000987,GO:0001012,GO:0001067,GO:0001077,GO:0001085,GO:0001102,GO:0001228,GO:0001558,GO:0001666,GO:0001889,GO:0001932,GO:0001933,GO:0002237,GO:0002791,GO:0003006,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0003705,GO:0003824,GO:0004879,GO:0005102,GO:0005488,GO:0005504,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005667,GO:0005737,GO:0005829,GO:0006082,GO:0006109,GO:0006111,GO:0006139,GO:0006163,GO:0006325,GO:0006342,GO:0006351,GO:0006352,GO:0006355,GO:0006357,GO:0006366,GO:0006367,GO:0006520,GO:0006591,GO:0006629,GO:0006637,GO:0006725,GO:0006732,GO:0006753,GO:0006790,GO:0006793,GO:0006796,GO:0006805,GO:0006807,GO:0006950,GO:0006996,GO:0007154,GO:0007164,GO:0007165,GO:0007166,GO:0007167,GO:0007178,GO:0007275,GO:0007346,GO:0007548,GO:0007568,GO:0007596,GO:0007599,GO:0008134,GO:0008150,GO:0008152,GO:0008285,GO:0008289,GO:0009056,GO:0009058,GO:0009059,GO:0009117,GO:0009150,GO:0009259,GO:0009410,GO:0009605,GO:0009607,GO:0009611,GO:0009617,GO:0009628,GO:0009653,GO:0009719,GO:0009725,GO:0009743,GO:0009746,GO:0009749,GO:0009888,GO:0009889,GO:0009890,GO:0009891,GO:0009892,GO:0009893,GO:0009966,GO:0009968,GO:0009987,GO:0009991,GO:0010033,GO:0010243,GO:0010467,GO:0010468,GO:0010470,GO:0010533,GO:0010556,GO:0010557,GO:0010558,GO:0010563,GO:0010565,GO:0010604,GO:0010605,GO:0010628,GO:0010629,GO:0010646,GO:0010648,GO:0010675,GO:0010676,GO:0010817,GO:0010906,GO:0010907,GO:0014070,GO:0014074,GO:0016042,GO:0016043,GO:0016070,GO:0016289,GO:0016290,GO:0016458,GO:0016787,GO:0016788,GO:0016790,GO:0017076,GO:0018130,GO:0019216,GO:0019217,GO:0019219,GO:0019220,GO:0019222,GO:0019438,GO:0019637,GO:0019693,GO:0019752,GO:0022414,GO:0022603,GO:0023019,GO:0023051,GO:0023052,GO:0023057,GO:0030154,GO:0030258,GO:0030308,GO:0030334,GO:0030336,GO:0030522,GO:0030554,GO:0030855,GO:0031016,GO:0031018,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031328,GO:0031344,GO:0031399,GO:0031400,GO:0031406,GO:0031667,GO:0031960,GO:0031974,GO:0031981,GO:0032268,GO:0032269,GO:0032386,GO:0032387,GO:0032496,GO:0032501,GO:0032502,GO:0032530,GO:0032534,GO:0032553,GO:0032555,GO:0032559,GO:0032774,GO:0032868,GO:0032869,GO:0032870,GO:0032879,GO:0032880,GO:0032991,GO:0033157,GO:0033158,GO:0033159,GO:0033218,GO:0033293,GO:0033500,GO:0033554,GO:0033613,GO:0033865,GO:0033875,GO:0033993,GO:0034032,GO:0034284,GO:0034330,GO:0034401,GO:0034440,GO:0034641,GO:0034645,GO:0034654,GO:0035270,GO:0035383,GO:0036041,GO:0036042,GO:0036094,GO:0036293,GO:0036294,GO:0040008,GO:0040012,GO:0040013,GO:0040029,GO:0042060,GO:0042127,GO:0042221,GO:0042304,GO:0042306,GO:0042308,GO:0042325,GO:0042326,GO:0042493,GO:0042509,GO:0042532,GO:0042592,GO:0042593,GO:0042632,GO:0042802,GO:0042803,GO:0043167,GO:0043168,GO:0043170,GO:0043177,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043255,GO:0043433,GO:0043434,GO:0043436,GO:0043549,GO:0043565,GO:0043603,GO:0044087,GO:0044092,GO:0044212,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044271,GO:0044281,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0045216,GO:0045722,GO:0045723,GO:0045786,GO:0045814,GO:0045834,GO:0045859,GO:0045892,GO:0045893,GO:0045913,GO:0045923,GO:0045926,GO:0045930,GO:0045934,GO:0045935,GO:0045936,GO:0045944,GO:0045995,GO:0046425,GO:0046426,GO:0046483,GO:0046683,GO:0046822,GO:0046823,GO:0046883,GO:0046889,GO:0046890,GO:0046983,GO:0047617,GO:0048037,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048545,GO:0048583,GO:0048585,GO:0048731,GO:0048732,GO:0048856,GO:0048869,GO:0048878,GO:0050542,GO:0050543,GO:0050544,GO:0050662,GO:0050708,GO:0050730,GO:0050732,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0050796,GO:0050801,GO:0050817,GO:0050878,GO:0050896,GO:0051046,GO:0051049,GO:0051051,GO:0051090,GO:0051128,GO:0051171,GO:0051172,GO:0051173,GO:0051174,GO:0051186,GO:0051223,GO:0051224,GO:0051239,GO:0051246,GO:0051248,GO:0051252,GO:0051253,GO:0051254,GO:0051270,GO:0051271,GO:0051276,GO:0051338,GO:0051384,GO:0051591,GO:0051704,GO:0051707,GO:0051716,GO:0051726,GO:0055081,GO:0055086,GO:0055088,GO:0055090,GO:0055091,GO:0055092,GO:0055114,GO:0060255,GO:0060341,GO:0060395,GO:0060398,GO:0060429,GO:0060491,GO:0061008,GO:0062012,GO:0062013,GO:0065007,GO:0065008,GO:0065009,GO:0070013,GO:0070201,GO:0070328,GO:0070365,GO:0070482,GO:0070491,GO:0070540,GO:0070828,GO:0070868,GO:0070887,GO:0071310,GO:0071375,GO:0071417,GO:0071453,GO:0071456,GO:0071466,GO:0071495,GO:0071548,GO:0071704,GO:0071840,GO:0072521,GO:0080090,GO:0090087,GO:0090276,GO:0090304,GO:0090317,GO:0097159,GO:0097327,GO:0097367,GO:0097549,GO:0097659,GO:0098531,GO:0120032,GO:0120035,GO:0140110,GO:1900180,GO:1900181,GO:1901135,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901567,GO:1901575,GO:1901576,GO:1901605,GO:1901652,GO:1901653,GO:1901654,GO:1901681,GO:1901698,GO:1901699,GO:1901700,GO:1901701,GO:1902531,GO:1902532,GO:1902569,GO:1902679,GO:1902680,GO:1903506,GO:1903507,GO:1903508,GO:1903530,GO:1903827,GO:1903828,GO:1904589,GO:1904590,GO:1904892,GO:1904893,GO:1904950,GO:1990837,GO:2000026,GO:2000112,GO:2000113,GO:2000145,GO:2000146,GO:2001141
ASL	1.24516971093936e-09	3.94063947086846	0.295	0.025	2.57986712409526e-05	sym	GO:0000050,GO:0000053,GO:0001655,GO:0001666,GO:0001822,GO:0001889,GO:0002237,GO:0002376,GO:0003674,GO:0003824,GO:0004056,GO:0005198,GO:0005212,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005739,GO:0005740,GO:0005741,GO:0005783,GO:0005829,GO:0006082,GO:0006520,GO:0006525,GO:0006526,GO:0006536,GO:0006541,GO:0006575,GO:0006591,GO:0006807,GO:0006950,GO:0006952,GO:0006955,GO:0007275,GO:0007494,GO:0007517,GO:0007568,GO:0007584,GO:0007610,GO:0007626,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009410,GO:0009605,GO:0009607,GO:0009617,GO:0009628,GO:0009636,GO:0009719,GO:0009725,GO:0009791,GO:0009987,GO:0009991,GO:0010033,GO:0010035,GO:0010038,GO:0010043,GO:0010243,GO:0012505,GO:0014070,GO:0014074,GO:0014075,GO:0016020,GO:0016053,GO:0016829,GO:0016840,GO:0016842,GO:0019627,GO:0019676,GO:0019740,GO:0019752,GO:0019867,GO:0031090,GO:0031667,GO:0031960,GO:0031966,GO:0031967,GO:0031968,GO:0031975,GO:0032496,GO:0032501,GO:0032502,GO:0032870,GO:0033554,GO:0033762,GO:0033993,GO:0034097,GO:0034341,GO:0034612,GO:0034641,GO:0035295,GO:0035690,GO:0036293,GO:0036294,GO:0036477,GO:0042221,GO:0042450,GO:0042493,GO:0042802,GO:0042995,GO:0043005,GO:0043025,GO:0043204,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043434,GO:0043436,GO:0043603,GO:0043604,GO:0043648,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044297,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0045087,GO:0046394,GO:0046683,GO:0048471,GO:0048513,GO:0048545,GO:0048565,GO:0048731,GO:0048732,GO:0048856,GO:0050896,GO:0051384,GO:0051591,GO:0051704,GO:0051707,GO:0051716,GO:0055123,GO:0060359,GO:0060416,GO:0060538,GO:0060539,GO:0060541,GO:0061008,GO:0061061,GO:0070482,GO:0070852,GO:0070887,GO:0071242,GO:0071310,GO:0071320,GO:0071345,GO:0071346,GO:0071356,GO:0071375,GO:0071377,GO:0071383,GO:0071384,GO:0071385,GO:0071396,GO:0071407,GO:0071417,GO:0071453,GO:0071456,GO:0071466,GO:0071495,GO:0071548,GO:0071549,GO:0071704,GO:0071941,GO:0072001,GO:0072350,GO:0097327,GO:0097458,GO:0098588,GO:0098805,GO:0120025,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607,GO:1901652,GO:1901653,GO:1901654,GO:1901655,GO:1901698,GO:1901699,GO:1901700,GO:1901701
CALR	2.81308528894614e-09	-0.967452585939648	0.468	0.634	5.8284314101675e-05	apo	GO:0000003,GO:0000122,GO:0001669,GO:0001846,GO:0001848,GO:0001849,GO:0002376,GO:0002396,GO:0002397,GO:0002474,GO:0002478,GO:0002479,GO:0002501,GO:0002502,GO:0002682,GO:0002684,GO:0002685,GO:0002687,GO:0002688,GO:0002690,GO:0003008,GO:0003674,GO:0003676,GO:0003677,GO:0003723,GO:0003729,GO:0005102,GO:0005178,GO:0005488,GO:0005506,GO:0005509,GO:0005515,GO:0005575,GO:0005576,GO:0005615,GO:0005622,GO:0005623,GO:0005634,GO:0005635,GO:0005737,GO:0005783,GO:0005788,GO:0005789,GO:0005790,GO:0005793,GO:0005794,GO:0005829,GO:0005844,GO:0005886,GO:0006355,GO:0006357,GO:0006417,GO:0006457,GO:0006611,GO:0006807,GO:0006810,GO:0006873,GO:0006874,GO:0006875,GO:0006886,GO:0006897,GO:0006898,GO:0006906,GO:0006913,GO:0006950,GO:0006984,GO:0006986,GO:0006996,GO:0007010,GO:0007044,GO:0007154,GO:0007165,GO:0007275,GO:0007276,GO:0007283,GO:0007399,GO:0007417,GO:0007422,GO:0007507,GO:0007568,GO:0007569,GO:0007588,GO:0007610,GO:0007635,GO:0008104,GO:0008134,GO:0008150,GO:0008152,GO:0008219,GO:0008270,GO:0008284,GO:0009266,GO:0009408,GO:0009628,GO:0009636,GO:0009719,GO:0009725,GO:0009755,GO:0009888,GO:0009889,GO:0009890,GO:0009892,GO:0009893,GO:0009897,GO:0009966,GO:0009967,GO:0009968,GO:0009986,GO:0009987,GO:0010033,GO:0010035,GO:0010038,GO:0010226,GO:0010467,GO:0010468,GO:0010556,GO:0010558,GO:0010564,GO:0010594,GO:0010595,GO:0010604,GO:0010605,GO:0010608,GO:0010628,GO:0010629,GO:0010632,GO:0010634,GO:0010646,GO:0010647,GO:0010648,GO:0010720,GO:0010721,GO:0010769,GO:0010770,GO:0010810,GO:0010811,GO:0010941,GO:0010948,GO:0012501,GO:0012505,GO:0012506,GO:0014070,GO:0014706,GO:0015031,GO:0015833,GO:0016020,GO:0016021,GO:0016043,GO:0016050,GO:0016192,GO:0016528,GO:0016529,GO:0017148,GO:0019219,GO:0019222,GO:0019538,GO:0019725,GO:0019882,GO:0019884,GO:0019899,GO:0019953,GO:0022008,GO:0022414,GO:0022417,GO:0022603,GO:0022604,GO:0022607,GO:0023051,GO:0023052,GO:0023056,GO:0023057,GO:0030003,GO:0030029,GO:0030036,GO:0030100,GO:0030139,GO:0030141,GO:0030154,GO:0030155,GO:0030176,GO:0030246,GO:0030334,GO:0030335,GO:0030336,GO:0030421,GO:0030431,GO:0030496,GO:0030518,GO:0030522,GO:0030659,GO:0030666,GO:0030670,GO:0030865,GO:0030866,GO:0030968,GO:0031012,GO:0031090,GO:0031224,GO:0031227,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031410,GO:0031581,GO:0031625,GO:0031647,GO:0031958,GO:0031967,GO:0031974,GO:0031975,GO:0031982,GO:0031983,GO:0031984,GO:0032101,GO:0032103,GO:0032268,GO:0032269,GO:0032355,GO:0032501,GO:0032502,GO:0032504,GO:0032870,GO:0032879,GO:0032991,GO:0033036,GO:0033043,GO:0033116,GO:0033143,GO:0033144,GO:0033218,GO:0033365,GO:0033554,GO:0033574,GO:0033993,GO:0034248,GO:0034249,GO:0034329,GO:0034330,GO:0034504,GO:0034613,GO:0034620,GO:0034622,GO:0034975,GO:0034976,GO:0035051,GO:0035257,GO:0035258,GO:0035966,GO:0035967,GO:0036500,GO:0040012,GO:0040013,GO:0040017,GO:0040020,GO:0042048,GO:0042127,GO:0042175,GO:0042221,GO:0042277,GO:0042493,GO:0042562,GO:0042590,GO:0042592,GO:0042692,GO:0042824,GO:0042886,GO:0042921,GO:0042981,GO:0043067,GO:0043167,GO:0043169,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043401,GO:0043900,GO:0043901,GO:0043933,GO:0044085,GO:0044183,GO:0044238,GO:0044322,GO:0044389,GO:0044421,GO:0044422,GO:0044424,GO:0044425,GO:0044428,GO:0044432,GO:0044433,GO:0044444,GO:0044446,GO:0044459,GO:0044464,GO:0044703,GO:0044877,GO:0045169,GO:0045184,GO:0045335,GO:0045471,GO:0045595,GO:0045596,GO:0045597,GO:0045664,GO:0045665,GO:0045785,GO:0045786,GO:0045787,GO:0045807,GO:0045892,GO:0045934,GO:0046677,GO:0046872,GO:0046907,GO:0046914,GO:0048002,GO:0048232,GO:0048284,GO:0048385,GO:0048387,GO:0048471,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048545,GO:0048583,GO:0048584,GO:0048585,GO:0048609,GO:0048699,GO:0048731,GO:0048738,GO:0048856,GO:0048869,GO:0048878,GO:0050681,GO:0050764,GO:0050766,GO:0050767,GO:0050768,GO:0050789,GO:0050793,GO:0050794,GO:0050801,GO:0050821,GO:0050839,GO:0050896,GO:0050920,GO:0050921,GO:0051049,GO:0051050,GO:0051082,GO:0051087,GO:0051093,GO:0051094,GO:0051128,GO:0051130,GO:0051146,GO:0051168,GO:0051169,GO:0051171,GO:0051172,GO:0051179,GO:0051208,GO:0051234,GO:0051235,GO:0051239,GO:0051240,GO:0051241,GO:0051246,GO:0051248,GO:0051252,GO:0051253,GO:0051270,GO:0051271,GO:0051272,GO:0051427,GO:0051445,GO:0051604,GO:0051641,GO:0051649,GO:0051704,GO:0051716,GO:0051726,GO:0051783,GO:0051960,GO:0051961,GO:0055007,GO:0055065,GO:0055074,GO:0055080,GO:0055082,GO:0060205,GO:0060255,GO:0060284,GO:0060537,GO:0060627,GO:0061024,GO:0061025,GO:0061061,GO:0061077,GO:0065003,GO:0065007,GO:0065008,GO:0070013,GO:0070727,GO:0070887,GO:0071156,GO:0071157,GO:0071241,GO:0071248,GO:0071285,GO:0071310,GO:0071383,GO:0071396,GO:0071407,GO:0071495,GO:0071556,GO:0071682,GO:0071702,GO:0071704,GO:0071705,GO:0071840,GO:0071944,GO:0072359,GO:0072503,GO:0072507,GO:0080090,GO:0090174,GO:0090398,GO:0097159,GO:0097223,GO:0097305,GO:0097708,GO:0098552,GO:0098553,GO:0098588,GO:0098657,GO:0098771,GO:0098796,GO:0098805,GO:0098827,GO:0099503,GO:1900024,GO:1900026,GO:1901163,GO:1901164,GO:1901222,GO:1901224,GO:1901363,GO:1901564,GO:1901654,GO:1901700,GO:1902531,GO:1902533,GO:1902679,GO:1903506,GO:1903507,GO:1990668,GO:1990904,GO:2000026,GO:2000112,GO:2000113,GO:2000145,GO:2000146,GO:2000147,GO:2000241,GO:2000242,GO:2000508,GO:2000510,GO:2001141
g570	5.41976685638938e-09	-1.80817819308002	0.131	0.278	0.000112292149497532	apo	-
