Protein_ID	gene
evm.model.Ap5.2306	evm.TU.Ap5.2306
evm.model.Ap5.2301	evm.TU.Ap5.2301
evm.model.Ap5.1103	evm.TU.Ap5.1103
evm.model.Ap5.1100	evm.TU.Ap5.1100
evm.model.Ap5.1101	evm.TU.Ap5.1101
evm.model.Ap5.1106	evm.TU.Ap5.1106
evm.model.Ap5.1107	evm.TU.Ap5.1107
evm.model.Ap5.1104	evm.TU.Ap5.1104
evm.model.Ap5.1105	evm.TU.Ap5.1105
evm.model.Ap5.1108	evm.TU.Ap5.1108
evm.model.Ap5.1109	evm.TU.Ap5.1109
evm.model.Ap5.2300	evm.TU.Ap5.2300
evm.model.Ap5.2303	evm.TU.Ap5.2303
evm.model.Ap5.552	evm.TU.Ap5.552
evm.model.Ap5.2672	evm.TU.Ap5.2672
evm.model.Ap5.2678	evm.TU.Ap5.2678
evm.model.Ap5.2319	evm.TU.Ap5.2319
evm.model.Ap5.1669	evm.TU.Ap5.1669
evm.model.Ap5.1668	evm.TU.Ap5.1668
evm.model.Ap5.68	evm.TU.Ap5.68
evm.model.Ap5.69	evm.TU.Ap5.69
evm.model.Ap5.64	evm.TU.Ap5.64
evm.model.Ap5.65	evm.TU.Ap5.65
evm.model.Ap5.66	evm.TU.Ap5.66
evm.model.Ap5.67	evm.TU.Ap5.67
evm.model.Ap5.60	evm.TU.Ap5.60
evm.model.Ap5.61	evm.TU.Ap5.61
evm.model.Ap5.62	evm.TU.Ap5.62
evm.model.Ap5.63	evm.TU.Ap5.63
evm.model.Ap5.1919	evm.TU.Ap5.1919
evm.model.Ap5.1626	evm.TU.Ap5.1626
evm.model.Ap5.1623	evm.TU.Ap5.1623
evm.model.Ap5.387	evm.TU.Ap5.387
evm.model.Ap5.1851	evm.TU.Ap5.1851
evm.model.Ap5.2662	evm.TU.Ap5.2662
evm.model.Ap5.2660	evm.TU.Ap5.2660
evm.model.Ap5.2661	evm.TU.Ap5.2661
evm.model.Ap5.2666	evm.TU.Ap5.2666
evm.model.Ap5.2667	evm.TU.Ap5.2667
evm.model.Ap5.2664	evm.TU.Ap5.2664
evm.model.Ap5.2668	evm.TU.Ap5.2668
evm.model.Ap5.2669	evm.TU.Ap5.2669
evm.model.Ap5.877	evm.TU.Ap5.877
evm.model.Ap5.1313	evm.TU.Ap5.1313
evm.model.Ap5.1310	evm.TU.Ap5.1310
evm.model.Ap5.1316	evm.TU.Ap5.1316
evm.model.Ap5.1319	evm.TU.Ap5.1319
evm.model.Ap5.1318	evm.TU.Ap5.1318
evm.model.Ap5.879	evm.TU.Ap5.879
evm.model.Ap5.137_evm.model.Ap5.140	evm.TU.Ap5.137.evm.TU.Ap5.140
evm.model.Ap5.1577	evm.TU.Ap5.1577
evm.model.Ap5.1576	evm.TU.Ap5.1576
evm.model.Ap5.2509	evm.TU.Ap5.2509
evm.model.Ap5.2508	evm.TU.Ap5.2508
evm.model.Ap5.663	evm.TU.Ap5.663
evm.model.Ap5.662	evm.TU.Ap5.662
evm.model.Ap5.661	evm.TU.Ap5.661
evm.model.Ap5.660	evm.TU.Ap5.660
evm.model.Ap5.667	evm.TU.Ap5.667
evm.model.Ap5.666	evm.TU.Ap5.666
evm.model.Ap5.665	evm.TU.Ap5.665
evm.model.Ap5.664	evm.TU.Ap5.664
evm.model.Ap5.669	evm.TU.Ap5.669
evm.model.Ap5.496	evm.TU.Ap5.496
evm.model.Ap5.497	evm.TU.Ap5.497
evm.model.Ap5.498	evm.TU.Ap5.498
evm.model.Ap5.499	evm.TU.Ap5.499
evm.model.Ap5.1432	evm.TU.Ap5.1432
evm.model.Ap5.1433	evm.TU.Ap5.1433
evm.model.Ap5.1430	evm.TU.Ap5.1430
evm.model.Ap5.1436	evm.TU.Ap5.1436
evm.model.Ap5.1437	evm.TU.Ap5.1437
evm.model.Ap5.1434	evm.TU.Ap5.1434
evm.model.Ap5.1435	evm.TU.Ap5.1435
evm.model.Ap5.1438	evm.TU.Ap5.1438
evm.model.Ap5.1439	evm.TU.Ap5.1439
evm.model.Ap5.1298	evm.TU.Ap5.1298
evm.model.Ap5.1299	evm.TU.Ap5.1299
evm.model.Ap5.1296	evm.TU.Ap5.1296
evm.model.Ap5.1297	evm.TU.Ap5.1297
evm.model.Ap5.1294	evm.TU.Ap5.1294
evm.model.Ap5.1295	evm.TU.Ap5.1295
evm.model.Ap5.1292	evm.TU.Ap5.1292
evm.model.Ap5.1293	evm.TU.Ap5.1293
evm.model.Ap5.1290	evm.TU.Ap5.1290
evm.model.Ap5.1291	evm.TU.Ap5.1291
evm.model.Ap5.2830	evm.TU.Ap5.2830
evm.model.Ap5.2410	evm.TU.Ap5.2410
evm.model.Ap5.788	evm.TU.Ap5.788
evm.model.Ap5.789	evm.TU.Ap5.789
evm.model.Ap5.780	evm.TU.Ap5.780
evm.model.Ap5.781	evm.TU.Ap5.781
evm.model.Ap5.782	evm.TU.Ap5.782
evm.model.Ap5.783	evm.TU.Ap5.783
evm.model.Ap5.784	evm.TU.Ap5.784
evm.model.Ap5.785	evm.TU.Ap5.785
evm.model.Ap5.786	evm.TU.Ap5.786
evm.model.Ap5.787	evm.TU.Ap5.787
evm.model.Ap5.432	evm.TU.Ap5.432
evm.model.Ap5.433	evm.TU.Ap5.433
evm.model.Ap5.436	evm.TU.Ap5.436
evm.model.Ap5.437	evm.TU.Ap5.437
evm.model.Ap5.435	evm.TU.Ap5.435
evm.model.Ap5.438	evm.TU.Ap5.438
evm.model.Ap5.439	evm.TU.Ap5.439
evm.model.Ap5.442	evm.TU.Ap5.442
evm.model.Ap5.441	evm.TU.Ap5.441
evm.model.Ap5.440	evm.TU.Ap5.440
evm.model.Ap5.2390	evm.TU.Ap5.2390
evm.model.Ap5.2391	evm.TU.Ap5.2391
evm.model.Ap5.2398	evm.TU.Ap5.2398
evm.model.Ap5.2399	evm.TU.Ap5.2399
evm.model.Ap5.1213	evm.TU.Ap5.1213
evm.model.Ap5.1145	evm.TU.Ap5.1145
evm.model.Ap5.230	evm.TU.Ap5.230
evm.model.Ap5.231	evm.TU.Ap5.231
evm.model.Ap5.232	evm.TU.Ap5.232
evm.model.Ap5.233	evm.TU.Ap5.233
evm.model.Ap5.234	evm.TU.Ap5.234
evm.model.Ap5.235	evm.TU.Ap5.235
evm.model.Ap5.236	evm.TU.Ap5.236
evm.model.Ap5.237	evm.TU.Ap5.237
evm.model.Ap5.238	evm.TU.Ap5.238
evm.model.Ap5.239	evm.TU.Ap5.239
evm.model.Ap5.1982	evm.TU.Ap5.1982
evm.model.Ap5.1983	evm.TU.Ap5.1983
evm.model.Ap5.1980	evm.TU.Ap5.1980
evm.model.Ap5.1981	evm.TU.Ap5.1981
evm.model.Ap5.1986	evm.TU.Ap5.1986
evm.model.Ap5.1987	evm.TU.Ap5.1987
evm.model.Ap5.1984	evm.TU.Ap5.1984
evm.model.Ap5.908	evm.TU.Ap5.908
evm.model.Ap5.909	evm.TU.Ap5.909
evm.model.Ap5.906	evm.TU.Ap5.906
evm.model.Ap5.907	evm.TU.Ap5.907
evm.model.Ap5.904	evm.TU.Ap5.904
evm.model.Ap5.902	evm.TU.Ap5.902
evm.model.Ap5.903	evm.TU.Ap5.903
evm.model.Ap5.900	evm.TU.Ap5.900
evm.model.Ap5.901	evm.TU.Ap5.901
evm.model.Ap5.1086_evm.model.Ap5.1088	evm.TU.Ap5.1086.evm.TU.Ap5.1088
evm.model.Ap5.577	evm.TU.Ap5.577
evm.model.Ap5.576	evm.TU.Ap5.576
evm.model.Ap5.575	evm.TU.Ap5.575
evm.model.Ap5.574	evm.TU.Ap5.574
evm.model.Ap5.573	evm.TU.Ap5.573
evm.model.Ap5.572	evm.TU.Ap5.572
evm.model.Ap5.571	evm.TU.Ap5.571
evm.model.Ap5.570	evm.TU.Ap5.570
evm.model.Ap5.579	evm.TU.Ap5.579
evm.model.Ap5.578	evm.TU.Ap5.578
evm.model.Ap5.529_evm.model.Ap5.531	evm.TU.Ap5.529.evm.TU.Ap5.531
evm.model.Ap5.1684	evm.TU.Ap5.1684
evm.model.Ap5.1836	evm.TU.Ap5.1836
evm.model.Ap5.1837	evm.TU.Ap5.1837
evm.model.Ap5.1832	evm.TU.Ap5.1832
evm.model.Ap5.1833	evm.TU.Ap5.1833
evm.model.Ap5.1830	evm.TU.Ap5.1830
evm.model.Ap5.1831	evm.TU.Ap5.1831
evm.model.Ap5.2313	evm.TU.Ap5.2313
evm.model.Ap5.2589	evm.TU.Ap5.2589
evm.model.Ap5.2588	evm.TU.Ap5.2588
evm.model.Ap5.1588	evm.TU.Ap5.1588
evm.model.Ap5.1589	evm.TU.Ap5.1589
evm.model.Ap5.1054	evm.TU.Ap5.1054
evm.model.Ap5.1055	evm.TU.Ap5.1055
evm.model.Ap5.1056	evm.TU.Ap5.1056
evm.model.Ap5.1057	evm.TU.Ap5.1057
evm.model.Ap5.1050	evm.TU.Ap5.1050
evm.model.Ap5.1051	evm.TU.Ap5.1051
evm.model.Ap5.1052	evm.TU.Ap5.1052
evm.model.Ap5.1053	evm.TU.Ap5.1053
evm.model.Ap5.1058	evm.TU.Ap5.1058
evm.model.Ap5.1059	evm.TU.Ap5.1059
evm.model.Ap5.1617	evm.TU.Ap5.1617
evm.model.Ap5.2140_evm.model.Ap5.2142	evm.TU.Ap5.2140.evm.TU.Ap5.2142
evm.model.Ap5.2140_evm.model.Ap5.2142.2.5f168e1a	evm.TU.Ap5.2140.evm.TU.Ap5.2142.2.5f168e1a
evm.model.Ap5.2140_evm.model.Ap5.2142.1.5f168e1a	evm.TU.Ap5.2140.evm.TU.Ap5.2142.1.5f168e1a
evm.model.Ap5.2745	evm.TU.Ap5.2745
evm.model.Ap5.2744	evm.TU.Ap5.2744
evm.model.Ap5.2747	evm.TU.Ap5.2747
evm.model.Ap5.2746	evm.TU.Ap5.2746
evm.model.Ap5.2741	evm.TU.Ap5.2741
evm.model.Ap5.2740	evm.TU.Ap5.2740
evm.model.Ap5.2743	evm.TU.Ap5.2743
evm.model.Ap5.2742	evm.TU.Ap5.2742
evm.model.Ap5.2749	evm.TU.Ap5.2749
evm.model.Ap5.2748	evm.TU.Ap5.2748
evm.model.Ap5.1216	evm.TU.Ap5.1216
evm.model.Ap5.1217	evm.TU.Ap5.1217
evm.model.Ap5.1214	evm.TU.Ap5.1214
evm.model.Ap5.1215	evm.TU.Ap5.1215
evm.model.Ap5.1210	evm.TU.Ap5.1210
evm.model.Ap5.1211	evm.TU.Ap5.1211
evm.model.Ap5.2358	evm.TU.Ap5.2358
evm.model.Ap5.2359	evm.TU.Ap5.2359
evm.model.Ap5.2356.3.5f15e6a9	evm.TU.Ap5.2356.3.5f15e6a9
evm.model.Ap5.2356.1.5f15e6a8	evm.TU.Ap5.2356.1.5f15e6a8
evm.model.Ap5.2356.2.5f15e6a9	evm.TU.Ap5.2356.2.5f15e6a9
evm.model.Ap5.2356	evm.TU.Ap5.2356
evm.model.Ap5.2357	evm.TU.Ap5.2357
evm.model.Ap5.2264	evm.TU.Ap5.2264
evm.model.Ap5.2265	evm.TU.Ap5.2265
evm.model.Ap5.2262.1.5f15e67b	evm.TU.Ap5.2262.1.5f15e67b
evm.model.Ap5.2262	evm.TU.Ap5.2262
evm.model.Ap5.2260	evm.TU.Ap5.2260
evm.model.Ap5.2261	evm.TU.Ap5.2261
evm.model.Ap5.700	evm.TU.Ap5.700
evm.model.Ap5.701	evm.TU.Ap5.701
evm.model.Ap5.704	evm.TU.Ap5.704
evm.model.Ap5.705	evm.TU.Ap5.705
evm.model.Ap5.706	evm.TU.Ap5.706
evm.model.Ap5.707	evm.TU.Ap5.707
evm.model.Ap5.2460	evm.TU.Ap5.2460
evm.model.Ap5.2461	evm.TU.Ap5.2461
evm.model.Ap5.2464	evm.TU.Ap5.2464
evm.model.Ap5.2466	evm.TU.Ap5.2466
evm.model.Ap5.2467	evm.TU.Ap5.2467
evm.model.Ap5.2468	evm.TU.Ap5.2468
evm.model.Ap5.2469	evm.TU.Ap5.2469
evm.model.Ap5.24	evm.TU.Ap5.24
evm.model.Ap5.26	evm.TU.Ap5.26
evm.model.Ap5.982	evm.TU.Ap5.982
evm.model.Ap5.2731	evm.TU.Ap5.2731
evm.model.Ap5.1225	evm.TU.Ap5.1225
evm.model.Ap5.2737	evm.TU.Ap5.2737
evm.model.Ap5.1420	evm.TU.Ap5.1420
evm.model.Ap5.2055	evm.TU.Ap5.2055
evm.model.Ap5.2054	evm.TU.Ap5.2054
evm.model.Ap5.2057	evm.TU.Ap5.2057
evm.model.Ap5.2056	evm.TU.Ap5.2056
evm.model.Ap5.2051	evm.TU.Ap5.2051
evm.model.Ap5.2050	evm.TU.Ap5.2050
evm.model.Ap5.2053	evm.TU.Ap5.2053
evm.model.Ap5.2052	evm.TU.Ap5.2052
evm.model.Ap5.2059	evm.TU.Ap5.2059
evm.model.Ap5.2058	evm.TU.Ap5.2058
evm.model.Ap5.1506	evm.TU.Ap5.1506
evm.model.Ap5.1507	evm.TU.Ap5.1507
evm.model.Ap5.1504	evm.TU.Ap5.1504
evm.model.Ap5.1505	evm.TU.Ap5.1505
evm.model.Ap5.1502	evm.TU.Ap5.1502
evm.model.Ap5.1503	evm.TU.Ap5.1503
evm.model.Ap5.1500	evm.TU.Ap5.1500
evm.model.Ap5.1501	evm.TU.Ap5.1501
evm.model.Ap5.1508	evm.TU.Ap5.1508
evm.model.Ap5.1509	evm.TU.Ap5.1509
evm.model.Ap5.97	evm.TU.Ap5.97
evm.model.Ap5.96	evm.TU.Ap5.96
evm.model.Ap5.99	evm.TU.Ap5.99
evm.model.Ap5.1281	evm.TU.Ap5.1281
evm.model.Ap5.1280	evm.TU.Ap5.1280
evm.model.Ap5.1283	evm.TU.Ap5.1283
evm.model.Ap5.1282	evm.TU.Ap5.1282
evm.model.Ap5.1285	evm.TU.Ap5.1285
evm.model.Ap5.1284	evm.TU.Ap5.1284
evm.model.Ap5.1286	evm.TU.Ap5.1286
evm.model.Ap5.1289	evm.TU.Ap5.1289
evm.model.Ap5.1288	evm.TU.Ap5.1288
evm.model.Ap5.2164	evm.TU.Ap5.2164
evm.model.Ap5.2296	evm.TU.Ap5.2296
evm.model.Ap5.2294	evm.TU.Ap5.2294
evm.model.Ap5.2290	evm.TU.Ap5.2290
evm.model.Ap5.328	evm.TU.Ap5.328
evm.model.Ap5.329	evm.TU.Ap5.329
evm.model.Ap5.325	evm.TU.Ap5.325
evm.model.Ap5.322	evm.TU.Ap5.322
evm.model.Ap5.323	evm.TU.Ap5.323
evm.model.Ap5.320	evm.TU.Ap5.320
evm.model.Ap5.321	evm.TU.Ap5.321
evm.model.Ap5.2833	evm.TU.Ap5.2833
evm.model.Ap5.2832	evm.TU.Ap5.2832
evm.model.Ap5.2831	evm.TU.Ap5.2831
evm.model.Ap5.2835	evm.TU.Ap5.2835
evm.model.Ap5.2834	evm.TU.Ap5.2834
evm.model.Ap5.2150	evm.TU.Ap5.2150
evm.model.Ap5.2152	evm.TU.Ap5.2152
evm.model.Ap5.2153	evm.TU.Ap5.2153
evm.model.Ap5.2154	evm.TU.Ap5.2154
evm.model.Ap5.2155	evm.TU.Ap5.2155
evm.model.Ap5.2204	evm.TU.Ap5.2204
evm.model.Ap5.2205	evm.TU.Ap5.2205
evm.model.Ap5.2206	evm.TU.Ap5.2206
evm.model.Ap5.2207	evm.TU.Ap5.2207
evm.model.Ap5.2200	evm.TU.Ap5.2200
evm.model.Ap5.2201	evm.TU.Ap5.2201
evm.model.Ap5.2202	evm.TU.Ap5.2202
evm.model.Ap5.2203	evm.TU.Ap5.2203
evm.model.Ap5.1717	evm.TU.Ap5.1717
evm.model.Ap5.1715	evm.TU.Ap5.1715
evm.model.Ap5.1713	evm.TU.Ap5.1713
evm.model.Ap5.1712.1.5f15e59c	evm.TU.Ap5.1712.1.5f15e59c
evm.model.Ap5.1712	evm.TU.Ap5.1712
evm.model.Ap5.1711	evm.TU.Ap5.1711
evm.model.Ap5.1719	evm.TU.Ap5.1719
evm.model.Ap5.2806	evm.TU.Ap5.2806
evm.model.Ap5.719	evm.TU.Ap5.719
evm.model.Ap5.718	evm.TU.Ap5.718
evm.model.Ap5.617	evm.TU.Ap5.617
evm.model.Ap5.1551	evm.TU.Ap5.1551
evm.model.Ap5.619	evm.TU.Ap5.619
evm.model.Ap5.1550	evm.TU.Ap5.1550
evm.model.Ap5.1159	evm.TU.Ap5.1159
evm.model.Ap5.1158	evm.TU.Ap5.1158
evm.model.Ap5.1151	evm.TU.Ap5.1151
evm.model.Ap5.1150	evm.TU.Ap5.1150
evm.model.Ap5.1153	evm.TU.Ap5.1153
evm.model.Ap5.1152	evm.TU.Ap5.1152
evm.model.Ap5.1155	evm.TU.Ap5.1155
evm.model.Ap5.1154	evm.TU.Ap5.1154
evm.model.Ap5.1157	evm.TU.Ap5.1157
evm.model.Ap5.1367	evm.TU.Ap5.1367
evm.model.Ap5.736	evm.TU.Ap5.736
evm.model.Ap5.1369	evm.TU.Ap5.1369
evm.model.Ap5.2171	evm.TU.Ap5.2171
evm.model.Ap5.1908	evm.TU.Ap5.1908
evm.model.Ap5.1909	evm.TU.Ap5.1909
evm.model.Ap5.1902	evm.TU.Ap5.1902
evm.model.Ap5.1903	evm.TU.Ap5.1903
evm.model.Ap5.1900	evm.TU.Ap5.1900
evm.model.Ap5.1901	evm.TU.Ap5.1901
evm.model.Ap5.1906	evm.TU.Ap5.1906
evm.model.Ap5.1907	evm.TU.Ap5.1907
evm.model.Ap5.1904	evm.TU.Ap5.1904
evm.model.Ap5.1905	evm.TU.Ap5.1905
evm.model.Ap5.2032	evm.TU.Ap5.2032
evm.model.Ap5.2031	evm.TU.Ap5.2031
evm.model.Ap5.2030	evm.TU.Ap5.2030
evm.model.Ap5.2349	evm.TU.Ap5.2349
evm.model.Ap5.2348	evm.TU.Ap5.2348
evm.model.Ap5.2036	evm.TU.Ap5.2036
evm.model.Ap5.2034	evm.TU.Ap5.2034
evm.model.Ap5.37	evm.TU.Ap5.37
evm.model.Ap5.35	evm.TU.Ap5.35
evm.model.Ap5.34	evm.TU.Ap5.34
evm.model.Ap5.31	evm.TU.Ap5.31
evm.model.Ap5.2231	evm.TU.Ap5.2231
evm.model.Ap5.2639	evm.TU.Ap5.2639
evm.model.Ap5.2638	evm.TU.Ap5.2638
evm.model.Ap5.2631	evm.TU.Ap5.2631
evm.model.Ap5.2630	evm.TU.Ap5.2630
evm.model.Ap5.2633	evm.TU.Ap5.2633
evm.model.Ap5.2632	evm.TU.Ap5.2632
evm.model.Ap5.2635	evm.TU.Ap5.2635
evm.model.Ap5.2634	evm.TU.Ap5.2634
evm.model.Ap5.2637	evm.TU.Ap5.2637
evm.model.Ap5.1809	evm.TU.Ap5.1809
evm.model.Ap5.728	evm.TU.Ap5.728
evm.model.Ap5.729	evm.TU.Ap5.729
evm.model.Ap5.722	evm.TU.Ap5.722
evm.model.Ap5.723	evm.TU.Ap5.723
evm.model.Ap5.727	evm.TU.Ap5.727
evm.model.Ap5.398	evm.TU.Ap5.398
evm.model.Ap5.397	evm.TU.Ap5.397
evm.model.Ap5.2076	evm.TU.Ap5.2076
evm.model.Ap5.2072	evm.TU.Ap5.2072
evm.model.Ap5.2071	evm.TU.Ap5.2071
evm.model.Ap5.1455	evm.TU.Ap5.1455
evm.model.Ap5.821	evm.TU.Ap5.821
evm.model.Ap5.820	evm.TU.Ap5.820
evm.model.Ap5.823	evm.TU.Ap5.823
evm.model.Ap5.822	evm.TU.Ap5.822
evm.model.Ap5.825	evm.TU.Ap5.825
evm.model.Ap5.824	evm.TU.Ap5.824
evm.model.Ap5.186	evm.TU.Ap5.186
evm.model.Ap5.187	evm.TU.Ap5.187
evm.model.Ap5.184	evm.TU.Ap5.184
evm.model.Ap5.185	evm.TU.Ap5.185
evm.model.Ap5.182	evm.TU.Ap5.182
evm.model.Ap5.183	evm.TU.Ap5.183
evm.model.Ap5.180	evm.TU.Ap5.180
evm.model.Ap5.181	evm.TU.Ap5.181
evm.model.Ap5.181.1.5f15e28e	evm.TU.Ap5.181.1.5f15e28e
evm.model.Ap5.638	evm.TU.Ap5.638
evm.model.Ap5.634	evm.TU.Ap5.634
evm.model.Ap5.635	evm.TU.Ap5.635
evm.model.Ap5.636	evm.TU.Ap5.636
evm.model.Ap5.637	evm.TU.Ap5.637
evm.model.Ap5.630	evm.TU.Ap5.630
evm.model.Ap5.632	evm.TU.Ap5.632
evm.model.Ap5.633	evm.TU.Ap5.633
evm.model.Ap5.2690	evm.TU.Ap5.2690
evm.model.Ap5.801	evm.TU.Ap5.801
evm.model.Ap5.1460	evm.TU.Ap5.1460
evm.model.Ap5.1463	evm.TU.Ap5.1463
evm.model.Ap5.2848	evm.TU.Ap5.2848
evm.model.Ap5.1799	evm.TU.Ap5.1799
evm.model.Ap5.1798	evm.TU.Ap5.1798
evm.model.Ap5.1797	evm.TU.Ap5.1797
evm.model.Ap5.1796	evm.TU.Ap5.1796
evm.model.Ap5.1795	evm.TU.Ap5.1795
evm.model.Ap5.1794	evm.TU.Ap5.1794
evm.model.Ap5.1793	evm.TU.Ap5.1793
evm.model.Ap5.1792	evm.TU.Ap5.1792
evm.model.Ap5.1791	evm.TU.Ap5.1791
evm.model.Ap5.1790	evm.TU.Ap5.1790
evm.model.Ap5.872	evm.TU.Ap5.872
evm.model.Ap5.873	evm.TU.Ap5.873
evm.model.Ap5.870	evm.TU.Ap5.870
evm.model.Ap5.871	evm.TU.Ap5.871
evm.model.Ap5.876	evm.TU.Ap5.876
evm.model.Ap5.874	evm.TU.Ap5.874
evm.model.Ap5.875	evm.TU.Ap5.875
evm.model.Ap5.809	evm.TU.Ap5.809
evm.model.Ap5.878	evm.TU.Ap5.878
evm.model.Ap5.1102	evm.TU.Ap5.1102
evm.model.Ap5.409	evm.TU.Ap5.409
evm.model.Ap5.408	evm.TU.Ap5.408
evm.model.Ap5.402	evm.TU.Ap5.402
evm.model.Ap5.401	evm.TU.Ap5.401
evm.model.Ap5.400	evm.TU.Ap5.400
evm.model.Ap5.407	evm.TU.Ap5.407
evm.model.Ap5.406	evm.TU.Ap5.406
evm.model.Ap5.405	evm.TU.Ap5.405
evm.model.Ap5.404	evm.TU.Ap5.404
evm.model.Ap5.2768	evm.TU.Ap5.2768
evm.model.Ap5.1988	evm.TU.Ap5.1988
evm.model.Ap5.1989	evm.TU.Ap5.1989
evm.model.Ap5.1618	evm.TU.Ap5.1618
evm.model.Ap5.1619	evm.TU.Ap5.1619
evm.model.Ap5.1612	evm.TU.Ap5.1612
evm.model.Ap5.1613	evm.TU.Ap5.1613
evm.model.Ap5.1610	evm.TU.Ap5.1610
evm.model.Ap5.1611	evm.TU.Ap5.1611
evm.model.Ap5.1616	evm.TU.Ap5.1616
evm.model.Ap5.1614	evm.TU.Ap5.1614
evm.model.Ap5.1615	evm.TU.Ap5.1615
evm.model.Ap5.695	evm.TU.Ap5.695
evm.model.Ap5.249	evm.TU.Ap5.249
evm.model.Ap5.248	evm.TU.Ap5.248
evm.model.Ap5.241	evm.TU.Ap5.241
evm.model.Ap5.240	evm.TU.Ap5.240
evm.model.Ap5.243	evm.TU.Ap5.243
evm.model.Ap5.242	evm.TU.Ap5.242
evm.model.Ap5.245	evm.TU.Ap5.245
evm.model.Ap5.244	evm.TU.Ap5.244
evm.model.Ap5.247	evm.TU.Ap5.247
evm.model.Ap5.246	evm.TU.Ap5.246
evm.model.Ap5.39	evm.TU.Ap5.39
evm.model.Ap5.38	evm.TU.Ap5.38
evm.model.Ap5.937	evm.TU.Ap5.937
evm.model.Ap5.936	evm.TU.Ap5.936
evm.model.Ap5.935	evm.TU.Ap5.935
evm.model.Ap5.934	evm.TU.Ap5.934
evm.model.Ap5.933	evm.TU.Ap5.933
evm.model.Ap5.932	evm.TU.Ap5.932
evm.model.Ap5.931	evm.TU.Ap5.931
evm.model.Ap5.930	evm.TU.Ap5.930
evm.model.Ap5.939	evm.TU.Ap5.939
evm.model.Ap5.938	evm.TU.Ap5.938
evm.model.Ap5.1362	evm.TU.Ap5.1362
evm.model.Ap5.1363	evm.TU.Ap5.1363
evm.model.Ap5.1360	evm.TU.Ap5.1360
evm.model.Ap5.1361	evm.TU.Ap5.1361
evm.model.Ap5.1366	evm.TU.Ap5.1366
evm.model.Ap5.1364	evm.TU.Ap5.1364
evm.model.Ap5.1365	evm.TU.Ap5.1365
evm.model.Ap5.1368	evm.TU.Ap5.1368
evm.model.Ap5.30	evm.TU.Ap5.30
evm.model.Ap5.2380	evm.TU.Ap5.2380
evm.model.Ap5.2383	evm.TU.Ap5.2383
evm.model.Ap5.2382	evm.TU.Ap5.2382
evm.model.Ap5.2578	evm.TU.Ap5.2578
evm.model.Ap5.2579	evm.TU.Ap5.2579
evm.model.Ap5.2572	evm.TU.Ap5.2572
evm.model.Ap5.2573	evm.TU.Ap5.2573
evm.model.Ap5.2570	evm.TU.Ap5.2570
evm.model.Ap5.2571	evm.TU.Ap5.2571
evm.model.Ap5.2576	evm.TU.Ap5.2576
evm.model.Ap5.2577	evm.TU.Ap5.2577
evm.model.Ap5.2574	evm.TU.Ap5.2574
evm.model.Ap5.2575	evm.TU.Ap5.2575
evm.model.Ap5.1009	evm.TU.Ap5.1009
evm.model.Ap5.1008	evm.TU.Ap5.1008
evm.model.Ap5.1003	evm.TU.Ap5.1003
evm.model.Ap5.1002	evm.TU.Ap5.1002
evm.model.Ap5.1001	evm.TU.Ap5.1001
evm.model.Ap5.1000	evm.TU.Ap5.1000
evm.model.Ap5.1007	evm.TU.Ap5.1007
evm.model.Ap5.1006	evm.TU.Ap5.1006
evm.model.Ap5.1005	evm.TU.Ap5.1005
evm.model.Ap5.1004	evm.TU.Ap5.1004
evm.model.Ap5.2318	evm.TU.Ap5.2318
evm.model.Ap5.2778	evm.TU.Ap5.2778
evm.model.Ap5.2779	evm.TU.Ap5.2779
evm.model.Ap5.2774	evm.TU.Ap5.2774
evm.model.Ap5.2775	evm.TU.Ap5.2775
evm.model.Ap5.2776	evm.TU.Ap5.2776
evm.model.Ap5.2777	evm.TU.Ap5.2777
evm.model.Ap5.2770	evm.TU.Ap5.2770
evm.model.Ap5.2771	evm.TU.Ap5.2771
evm.model.Ap5.2772	evm.TU.Ap5.2772
evm.model.Ap5.2773	evm.TU.Ap5.2773
evm.model.Ap5.2268	evm.TU.Ap5.2268
evm.model.Ap5.2381	evm.TU.Ap5.2381
evm.model.Ap5.1968	evm.TU.Ap5.1968
evm.model.Ap5.1969	evm.TU.Ap5.1969
evm.model.Ap5.624	evm.TU.Ap5.624
evm.model.Ap5.1962	evm.TU.Ap5.1962
evm.model.Ap5.1963	evm.TU.Ap5.1963
evm.model.Ap5.1663	evm.TU.Ap5.1663
evm.model.Ap5.1662	evm.TU.Ap5.1662
evm.model.Ap5.1661	evm.TU.Ap5.1661
evm.model.Ap5.1667	evm.TU.Ap5.1667
evm.model.Ap5.1666	evm.TU.Ap5.1666
evm.model.Ap5.2385	evm.TU.Ap5.2385
evm.model.Ap5.779	evm.TU.Ap5.779
evm.model.Ap5.778	evm.TU.Ap5.778
evm.model.Ap5.771	evm.TU.Ap5.771
evm.model.Ap5.770	evm.TU.Ap5.770
evm.model.Ap5.773	evm.TU.Ap5.773
evm.model.Ap5.772	evm.TU.Ap5.772
evm.model.Ap5.775	evm.TU.Ap5.775
evm.model.Ap5.774	evm.TU.Ap5.774
evm.model.Ap5.777	evm.TU.Ap5.777
evm.model.Ap5.776	evm.TU.Ap5.776
evm.model.Ap5.483	evm.TU.Ap5.483
evm.model.Ap5.482	evm.TU.Ap5.482
evm.model.Ap5.481	evm.TU.Ap5.481
evm.model.Ap5.480	evm.TU.Ap5.480
evm.model.Ap5.487	evm.TU.Ap5.487
