Protein_ID	gene
evm.model.Ap11.1656	evm.TU.Ap11.1656
evm.model.Ap11.1655	evm.TU.Ap11.1655
evm.model.Ap11.1654	evm.TU.Ap11.1654
evm.model.Ap11.1653	evm.TU.Ap11.1653
evm.model.Ap11.1652	evm.TU.Ap11.1652
evm.model.Ap11.1651	evm.TU.Ap11.1651
evm.model.Ap11.1650	evm.TU.Ap11.1650
evm.model.Ap11.1659	evm.TU.Ap11.1659
evm.model.Ap11.1658	evm.TU.Ap11.1658
evm.model.Ap11.1825	evm.TU.Ap11.1825
evm.model.Ap11.193	evm.TU.Ap11.193
evm.model.Ap11.195	evm.TU.Ap11.195
evm.model.Ap11.1787_evm.model.Ap11.1788	evm.TU.Ap11.1787.evm.TU.Ap11.1788
evm.model.Ap11.1238	evm.TU.Ap11.1238
evm.model.Ap11.659_evm.model.Ap11.661	evm.TU.Ap11.659.evm.TU.Ap11.661
evm.model.Ap11.659_evm.model.Ap11.661.1.5f16869b	evm.TU.Ap11.659.evm.TU.Ap11.661.1.5f16869b
evm.model.Ap11.1855	evm.TU.Ap11.1855
evm.model.Ap11.1857	evm.TU.Ap11.1857
evm.model.Ap11.1856	evm.TU.Ap11.1856
evm.model.Ap11.1851	evm.TU.Ap11.1851
evm.model.Ap11.1850	evm.TU.Ap11.1850
evm.model.Ap11.1853	evm.TU.Ap11.1853
evm.model.Ap11.1859	evm.TU.Ap11.1859
evm.model.Ap11.1529	evm.TU.Ap11.1529
evm.model.Ap11.1528	evm.TU.Ap11.1528
evm.model.Ap11.1521	evm.TU.Ap11.1521
evm.model.Ap11.1520	evm.TU.Ap11.1520
evm.model.Ap11.1523	evm.TU.Ap11.1523
evm.model.Ap11.1522	evm.TU.Ap11.1522
evm.model.Ap11.1525	evm.TU.Ap11.1525
evm.model.Ap11.1524	evm.TU.Ap11.1524
evm.model.Ap11.1527	evm.TU.Ap11.1527
evm.model.Ap11.1526	evm.TU.Ap11.1526
evm.model.Ap11.789	evm.TU.Ap11.789
evm.model.Ap11.788	evm.TU.Ap11.788
evm.model.Ap11.257	evm.TU.Ap11.257
evm.model.Ap11.256	evm.TU.Ap11.256
evm.model.Ap11.259	evm.TU.Ap11.259
evm.model.Ap11.258	evm.TU.Ap11.258
evm.model.Ap11.840	evm.TU.Ap11.840
evm.model.Ap11.841	evm.TU.Ap11.841
evm.model.Ap11.842	evm.TU.Ap11.842
evm.model.Ap11.843	evm.TU.Ap11.843
evm.model.Ap11.844	evm.TU.Ap11.844
evm.model.Ap11.845	evm.TU.Ap11.845
evm.model.Ap11.847	evm.TU.Ap11.847
evm.model.Ap11.1759	evm.TU.Ap11.1759
evm.model.Ap11.159_evm.model.Ap11.139_evm.model.Ap11.140_evm.model.Ap11.148	evm.TU.Ap11.159.evm.TU.Ap11.139.evm.TU.Ap11.140.evm.TU.Ap11.148
evm.model.Ap11.159_evm.model.Ap11.139_evm.model.Ap11.140_evm.model.Ap11.148.2.5f1685b5	evm.TU.Ap11.159.evm.TU.Ap11.139.evm.TU.Ap11.140.evm.TU.Ap11.148.2.5f1685b5
evm.model.Ap11.159_evm.model.Ap11.139_evm.model.Ap11.140_evm.model.Ap11.148.1.5f1685b5	evm.TU.Ap11.159.evm.TU.Ap11.139.evm.TU.Ap11.140.evm.TU.Ap11.148.1.5f1685b5
evm.model.Ap11.1284	evm.TU.Ap11.1284
evm.model.Ap11.1285	evm.TU.Ap11.1285
evm.model.Ap11.1286	evm.TU.Ap11.1286
evm.model.Ap11.1287	evm.TU.Ap11.1287
evm.model.Ap11.1280	evm.TU.Ap11.1280
evm.model.Ap11.1281	evm.TU.Ap11.1281
evm.model.Ap11.1282	evm.TU.Ap11.1282
evm.model.Ap11.1283	evm.TU.Ap11.1283
evm.model.Ap11.1288	evm.TU.Ap11.1288
evm.model.Ap11.1289	evm.TU.Ap11.1289
evm.model.Ap11.1756	evm.TU.Ap11.1756
evm.model.Ap11.1757	evm.TU.Ap11.1757
evm.model.Ap11.1754	evm.TU.Ap11.1754
evm.model.Ap11.1755	evm.TU.Ap11.1755
evm.model.Ap11.1	evm.TU.Ap11.1
evm.model.Ap11.1896_evm.model.Ap11.1897.3.5f168c0b	evm.TU.Ap11.1896.evm.TU.Ap11.1897.3.5f168c0b
evm.model.Ap11.1896_evm.model.Ap11.1897	evm.TU.Ap11.1896.evm.TU.Ap11.1897
evm.model.Ap11.1896_evm.model.Ap11.1897.2.5f168c0b	evm.TU.Ap11.1896.evm.TU.Ap11.1897.2.5f168c0b
evm.model.Ap11.1896_evm.model.Ap11.1897.1.5f168c0a	evm.TU.Ap11.1896.evm.TU.Ap11.1897.1.5f168c0a
evm.model.Ap11.1668	evm.TU.Ap11.1668
evm.model.Ap11.1669	evm.TU.Ap11.1669
evm.model.Ap11.1662	evm.TU.Ap11.1662
evm.model.Ap11.1663	evm.TU.Ap11.1663
evm.model.Ap11.1660	evm.TU.Ap11.1660
evm.model.Ap11.1661	evm.TU.Ap11.1661
evm.model.Ap11.549	evm.TU.Ap11.549
evm.model.Ap11.548	evm.TU.Ap11.548
evm.model.Ap11.471	evm.TU.Ap11.471
evm.model.Ap11.470	evm.TU.Ap11.470
evm.model.Ap11.473	evm.TU.Ap11.473
evm.model.Ap11.472	evm.TU.Ap11.472
evm.model.Ap11.475	evm.TU.Ap11.475
evm.model.Ap11.474	evm.TU.Ap11.474
evm.model.Ap11.477	evm.TU.Ap11.477
evm.model.Ap11.476.1.5f15dc04	evm.TU.Ap11.476.1.5f15dc04
evm.model.Ap11.476	evm.TU.Ap11.476
evm.model.Ap11.766	evm.TU.Ap11.766
evm.model.Ap11.1048	evm.TU.Ap11.1048
evm.model.Ap11.1049	evm.TU.Ap11.1049
evm.model.Ap11.1042	evm.TU.Ap11.1042
evm.model.Ap11.1043	evm.TU.Ap11.1043
evm.model.Ap11.1040	evm.TU.Ap11.1040
evm.model.Ap11.1041	evm.TU.Ap11.1041
evm.model.Ap11.1046	evm.TU.Ap11.1046
evm.model.Ap11.1047	evm.TU.Ap11.1047
evm.model.Ap11.1044	evm.TU.Ap11.1044
evm.model.Ap11.1045	evm.TU.Ap11.1045
evm.model.Ap11.1208	evm.TU.Ap11.1208
evm.model.Ap11.1209	evm.TU.Ap11.1209
evm.model.Ap11.1204	evm.TU.Ap11.1204
evm.model.Ap11.1205	evm.TU.Ap11.1205
