Protein_ID,Fishers
Xe_000929,0
Xe_000930,0
Xe_000931,0
Xe_000932,0
Xe_000933,0
Xe_000934,0
Xe_000935,0
Xe_000936,0
Xe_000937,0
Xe_028811,0
Xe_000938,0
Xe_000939,0
Xe_000940,0
Xe_000941,0
Xe_000942,0
Xe_000943,0
Xe_000944,0
Xe_000945,0
Xe_000946,0
Xe_000947,0
Xe_000948,0
Xe_000949,0
Xe_000950,0
Xe_000951,0
Xe_000952,0
Xe_000953,0
Xe_000954,0
Xe_000955,0
Xe_000956,0
Xe_000957,0
Xe_000958,0
Xe_000959,0
Xe_000960,0
Xe_000961,0
Xe_000962,0
Xe_000963,0
Xe_000964,0
Xe_000965,0
Xe_000966,0
Xe_000967,0
Xe_000968,0
Xe_000969,0
Xe_000970,0
Xe_000971,0
Xe_000972,0
Xe_000973,0
Xe_000974,0
Xe_000975,0
Xe_000976,0
Xe_000977,0
Xe_000978,0
Xe_000979,0
Xe_000980,0
Xe_000981,0
Xe_000982,0
Xe_028812,0
Xe_000983,0
Xe_000984,0
Xe_000985,0
Xe_000986,0
Xe_000987,0
Xe_000988,0
Xe_000989,0
Xe_000990,0
Xe_000991,0
Xe_000992,0
Xe_000993,0
Xe_000994,0
Xe_000995,0
Xe_000996,0
Xe_000997,0
Xe_000998,0
Xe_000999,0
Xe_001000,0
Xe_001001,0
Xe_001002,0
Xe_001003,0
Xe_001004,0
Xe_001005,0
Xe_001006,0
Xe_001007,0
Xe_001008,0
Xe_001009,0
Xe_001010,0
Xe_001011,0
Xe_001012,0
Xe_001013,0
Xe_001014,0
Xe_001015,0
Xe_001016,0
Xe_001017,0
Xe_001018,0
Xe_001019,0
Xe_001020,0
Xe_001021,0
Xe_001022,0
Xe_001023,0
Xe_001024,0
Xe_001025,0
Xe_001026,0
Xe_001027,0
Xe_001028,0
Xe_001029,0
Xe_001030,0
Xe_001031,0
Xe_001032,0
Xe_001033,0
Xe_001034,0
Xe_001035,0
Xe_001036,0
Xe_001037,0
Xe_001038,0
Xe_001039,0
Xe_001040,0
Xe_001041,0
Xe_001042,0
Xe_001043,0
Xe_001044,0
Xe_001045,0
Xe_001046,0
Xe_001047,0
Xe_001048,0
Xe_001049,0
Xe_001050,0
Xe_001051,0
Xe_001052,0
Xe_001053,0
Xe_001054,0
Xe_001055,0
Xe_001056,0
Xe_001057,0
Xe_001058,0
Xe_001059,0
Xe_001060,0
Xe_001061,0
Xe_001062,0
Xe_001063,0
Xe_001064,0
Xe_001065,0
Xe_001066,0
Xe_001067,0
Xe_001068,0
Xe_001069,0
Xe_001070,0
Xe_001071,0
Xe_001072,0
Xe_001073,0
Xe_001074,0
Xe_001075,0
Xe_001076,0
Xe_001077,0
Xe_001078,0
Xe_001079,0
Xe_001080,0
Xe_001081,0
Xe_001082,0
Xe_001083,0
Xe_001084,0
Xe_001085,0
Xe_001086,0
Xe_001087,0
Xe_001088,0
Xe_001089,0
Xe_001090,0
Xe_001091,0
Xe_001092,0
Xe_001093,0
Xe_001094,0
Xe_001095,0
Xe_001096,0
Xe_001097,0
Xe_001098,0
Xe_001099,0
Xe_001100,0
Xe_001101,0
Xe_001102,0
Xe_001103,0
Xe_001104,0
Xe_001105,0
Xe_001106,0
Xe_001107,0
Xe_001108,0
Xe_001109,0
Xe_001110,0
Xe_001111,0
Xe_001112,0
Xe_001113,0
Xe_001114,0
Xe_001115,0
Xe_001116,0
Xe_001117,0
Xe_001118,0
Xe_001119,0
Xe_001120,0
Xe_001121,0
Xe_001122,0
Xe_001123,0
Xe_001124,0
Xe_001126,0
Xe_001125,0
Xe_001128,0
Xe_028813,0
Xe_001129,0
Xe_001130,0
Xe_001131,0
Xe_001132,0
Xe_001133,0
Xe_001134,0
Xe_001135,0
Xe_001136,0
Xe_001137,0
Xe_001138,0
Xe_001139,0
Xe_001140,0
Xe_001141,0
Xe_001142,0
Xe_001143,0
Xe_001144,0
Xe_001145,0
Xe_001146,0
Xe_001147,0
Xe_001148,0
Xe_001149,0
Xe_001150,0
Xe_001151,0
Xe_001152,0
Xe_001153,0
Xe_001154,0
Xe_001155,0
Xe_001156,0
Xe_001157,0
Xe_001158,0
Xe_001159,0
Xe_001160,0
Xe_001161,0
Xe_001162,0
Xe_001163,0
Xe_001164,0
Xe_001165,0
Xe_001166,0
Xe_001167,0
Xe_001168,0
Xe_001169,0
Xe_001170,0
Xe_001171,0
Xe_001172,0
Xe_001174,0
Xe_001175,0
Xe_001176,0
Xe_001177,0
Xe_001178,0
Xe_001179,0
Xe_001180,0
Xe_001181,0
Xe_001182,0
Xe_001183,0
Xe_001184,0
Xe_001185,0
Xe_001186,0
Xe_001187,0
Xe_028814,0
Xe_001188,0
Xe_001189,0
Xe_001190,0
Xe_001191,0
Xe_001192,0
Xe_001193,0
Xe_001194,0
Xe_001195,0
Xe_001196,0
Xe_001197,0
Xe_001198,0
Xe_001199,0
Xe_001200,0
Xe_001201,0
Xe_001202,0
Xe_001203,0
Xe_001204,0
Xe_001205,0
Xe_001206,0
Xe_001207,0
Xe_001208,0
Xe_001209,0
Xe_028815,0
Xe_001210,0
Xe_001211,0
Xe_001212,0
Xe_001213,0
Xe_001214,0
Xe_001215,0
Xe_001216,0
Xe_001217,0
Xe_001218,0
Xe_028816,0
Xe_001219,0
Xe_001220,0
Xe_001221,0
Xe_001222,0
Xe_001223,0
Xe_001224,0
Xe_001225,0
Xe_001226,0
Xe_001227,0
Xe_001228,0
Xe_001229,0
Xe_028817,0
Xe_001230,0
Xe_001231,0
Xe_001233,0
Xe_001232,0
Xe_001234,0
Xe_001235,0
Xe_001236,0
Xe_001237,0
Xe_001238,0
Xe_001239,0
Xe_001240,0
Xe_001241,0
Xe_001242,0
Xe_001243,0
Xe_001244,0
Xe_001245,0
Xe_001246,0
Xe_001247,0
Xe_001248,0
Xe_001249,0
Xe_001250,0
Xe_001251,0
Xe_001252,0
Xe_001253,0
Xe_001254,0
Xe_001255,0
Xe_001256,0
Xe_001257,0
Xe_001258,0
Xe_001259,0
Xe_001260,0
Xe_001261,0
Xe_001262,0
Xe_001263,0
Xe_001264,0
Xe_001265,0
Xe_001266,0
Xe_028818,0
Xe_001268,0
Xe_001267,0
Xe_001270,0
Xe_001271,0
Xe_001272,0
Xe_001273,0
Xe_001274,0
Xe_001275,0
Xe_001276,0
Xe_001277,0
Xe_001278,0
Xe_028819,0
Xe_001279,0
Xe_001280,0
Xe_001281,0
Xe_001282,0
Xe_001283,0
Xe_001284,0
Xe_001285,0
Xe_001286,0
Xe_001287,0
Xe_001288,0
Xe_001289,0
Xe_001290,0
Xe_001291,0
Xe_001292,0
Xe_001293,0
Xe_001294,0
Xe_001295,0
Xe_001296,0
Xe_001297,0
Xe_001298,0
Xe_001299,0
Xe_001300,0
Xe_001301,0
Xe_001302,0
Xe_028820,0
Xe_001303,0
Xe_001304,0
Xe_001305,0
Xe_001306,0
Xe_001307,0
Xe_001308,0
Xe_001309,0
Xe_001310,0
Xe_001311,0
Xe_001312,0
Xe_001313,0
Xe_001314,0
Xe_001315,0
Xe_001316,0
Xe_001317,0
