Protein_ID,Fishers_oculina
evm.model.Ap11.1232,0
evm.model.Ap11.1820_evm.model.Ap11.1818.2.5f168b98,0
evm.model.Ap11.1820_evm.model.Ap11.1818.1.5f168b97,0
evm.model.Ap11.1820_evm.model.Ap11.1818,0
evm.model.Ap11.1178,0
evm.model.Ap11.1179,0
evm.model.Ap11.1176,0
evm.model.Ap11.1177,0
evm.model.Ap11.1174,0
evm.model.Ap11.1175,0
evm.model.Ap11.1172,0
evm.model.Ap11.1173,0
evm.model.Ap11.1170,0
evm.model.Ap11.1171,0
evm.model.Ap11.888,0
evm.model.Ap11.889,0
evm.model.Ap11.884,0
evm.model.Ap11.885,0
evm.model.Ap11.886,0
evm.model.Ap11.887,0
evm.model.Ap11.880,0
evm.model.Ap11.881,0
evm.model.Ap11.882,0
evm.model.Ap11.883,0
evm.model.Ap11.364,0
evm.model.Ap11.361,0
evm.model.Ap11.360,0
evm.model.Ap11.363,0
evm.model.Ap11.362,0
evm.model.Ap11.1370,0
evm.model.Ap11.1371,0
evm.model.Ap11.1372,0
evm.model.Ap11.1373,0
evm.model.Ap11.1374,0
evm.model.Ap11.1375,0
evm.model.Ap11.1376,0
evm.model.Ap11.1377,0
evm.model.Ap11.1378,0
evm.model.Ap11.1379,0
evm.model.Ap11.763,0
evm.model.Ap11.98,0
evm.model.Ap11.99,0
evm.model.Ap11.358,0
evm.model.Ap11.359,0
evm.model.Ap11.350,0
evm.model.Ap11.351,0
evm.model.Ap11.352,0
evm.model.Ap11.353,0
evm.model.Ap11.354,0
evm.model.Ap11.355,0
evm.model.Ap11.356,0
evm.model.Ap11.357,0
evm.model.Ap11.242,0
evm.model.Ap11.243,0
evm.model.Ap11.367,0
evm.model.Ap11.366,0
evm.model.Ap11.969,0
evm.model.Ap11.968,0
evm.model.Ap11.967,0
evm.model.Ap11.966,0
evm.model.Ap11.965,0
evm.model.Ap11.964,0
evm.model.Ap11.963,0
evm.model.Ap11.962,0
evm.model.Ap11.961.1.5f15dcbb,0
evm.model.Ap11.961,0
evm.model.Ap11.960,0
evm.model.Ap11.1657,0
evm.model.Ap11.1656,0
evm.model.Ap11.1655,0
evm.model.Ap11.1654,0
evm.model.Ap11.1653,0
evm.model.Ap11.1652,0
evm.model.Ap11.1651,0
evm.model.Ap11.1650,0
evm.model.Ap11.1659,0
evm.model.Ap11.1658,0
evm.model.Ap11.1825,0
evm.model.Ap11.193,0
evm.model.Ap11.195,0
evm.model.Ap11.1787_evm.model.Ap11.1788,0
evm.model.Ap11.1238,0
evm.model.Ap11.659_evm.model.Ap11.661,0
evm.model.Ap11.659_evm.model.Ap11.661.1.5f16869b,0
evm.model.Ap11.1855,0
evm.model.Ap11.1857,0
evm.model.Ap11.1856,0
evm.model.Ap11.1851,0
evm.model.Ap11.1850,0
evm.model.Ap11.1853,0
evm.model.Ap11.1859,0
evm.model.Ap11.1529,0
evm.model.Ap11.1528,0
evm.model.Ap11.1521,0
evm.model.Ap11.1520,0
evm.model.Ap11.1523,0
evm.model.Ap11.1522,0
evm.model.Ap11.1525,0
evm.model.Ap11.1524,0
evm.model.Ap11.1527,0
evm.model.Ap11.1526,0
evm.model.Ap11.789,0
evm.model.Ap11.788,0
evm.model.Ap11.257,0
evm.model.Ap11.256,0
evm.model.Ap11.259,0
evm.model.Ap11.258,0
evm.model.Ap11.840,0
evm.model.Ap11.841,0
evm.model.Ap11.842,0
evm.model.Ap11.843,0
evm.model.Ap11.844,0
evm.model.Ap11.845,0
evm.model.Ap11.847,0
evm.model.Ap11.1759,0
evm.model.Ap11.159_evm.model.Ap11.139_evm.model.Ap11.140_evm.model.Ap11.148,0
evm.model.Ap11.159_evm.model.Ap11.139_evm.model.Ap11.140_evm.model.Ap11.148.2.5f1685b5,0
evm.model.Ap11.159_evm.model.Ap11.139_evm.model.Ap11.140_evm.model.Ap11.148.1.5f1685b5,0
evm.model.Ap11.1284,0
evm.model.Ap11.1285,0
evm.model.Ap11.1286,0
evm.model.Ap11.1287,0
evm.model.Ap11.1280,0
evm.model.Ap11.1281,0
evm.model.Ap11.1282,0
evm.model.Ap11.1283,0
evm.model.Ap11.1288,0
evm.model.Ap11.1289,0
evm.model.Ap11.1756,0
evm.model.Ap11.1757,0
evm.model.Ap11.1754,0
evm.model.Ap11.1755,0
evm.model.Ap11.1,0
evm.model.Ap11.1896_evm.model.Ap11.1897.3.5f168c0b,0
evm.model.Ap11.1896_evm.model.Ap11.1897,0
evm.model.Ap11.1896_evm.model.Ap11.1897.2.5f168c0b,0
evm.model.Ap11.1896_evm.model.Ap11.1897.1.5f168c0a,0
evm.model.Ap11.1668,0
evm.model.Ap11.1669,0
evm.model.Ap11.1662,0
evm.model.Ap11.1663,0
evm.model.Ap11.1660,0
evm.model.Ap11.1661,0
evm.model.Ap11.549,0
evm.model.Ap11.548,0
evm.model.Ap11.471,0
evm.model.Ap11.470,0
evm.model.Ap11.473,0
evm.model.Ap11.472,0
evm.model.Ap11.475,0
evm.model.Ap11.474,0
evm.model.Ap11.477,0
evm.model.Ap11.476.1.5f15dc04,0
evm.model.Ap11.476,0
evm.model.Ap11.766,0
evm.model.Ap11.1048,0
evm.model.Ap11.1049,0
evm.model.Ap11.1042,0
evm.model.Ap11.1043,0
evm.model.Ap11.1040,0
evm.model.Ap11.1041,0
evm.model.Ap11.1046,0
evm.model.Ap11.1047,0
evm.model.Ap11.1044,0
evm.model.Ap11.1208,0
evm.model.Ap11.1209,0
evm.model.Ap11.1204,0
evm.model.Ap11.1205,0
evm.model.Ap11.1206,0
evm.model.Ap11.1207,0
evm.model.Ap11.1200,0
evm.model.Ap11.1202,0
evm.model.Ap11.1203,0
evm.model.Ap11.112,0
evm.model.Ap11.113,0
evm.model.Ap11.110,0
evm.model.Ap11.111,0
evm.model.Ap11.116,0
evm.model.Ap11.117,0
evm.model.Ap11.114,0
evm.model.Ap11.115,0
evm.model.Ap11.118,0
evm.model.Ap11.119,0
evm.model.Ap11.1678,0
evm.model.Ap11.875,0
evm.model.Ap11.874,0
evm.model.Ap11.877,0
evm.model.Ap11.876,0
evm.model.Ap11.871,0
evm.model.Ap11.870,0
evm.model.Ap11.873,0
evm.model.Ap11.872,0
evm.model.Ap11.879,0
evm.model.Ap11.878,0
evm.model.Ap11.1415,0
evm.model.Ap11.1417,0
evm.model.Ap11.1416,0
evm.model.Ap11.1413,0
evm.model.Ap11.1412,0
evm.model.Ap11.43,0
evm.model.Ap11.42,0
evm.model.Ap11.41,0
evm.model.Ap11.40,0
evm.model.Ap11.47,0
evm.model.Ap11.46,0
evm.model.Ap11.45,0
evm.model.Ap11.44,0
evm.model.Ap11.49,0
evm.model.Ap11.48,0
evm.model.Ap11.321,0
evm.model.Ap11.320,0
evm.model.Ap11.323,0
evm.model.Ap11.325,0
evm.model.Ap11.324,0
evm.model.Ap11.327,0
evm.model.Ap11.326,0
evm.model.Ap11.326.1.5f15dbde,0
evm.model.Ap11.329,0
evm.model.Ap11.774,0
evm.model.Ap11.774.1.5f15dc55,0
evm.model.Ap11.428,0
evm.model.Ap11.429,0
evm.model.Ap11.1598,0
evm.model.Ap11.1599,0
evm.model.Ap11.1590,0
evm.model.Ap11.1591,0
evm.model.Ap11.1592,0
evm.model.Ap11.1593,0
evm.model.Ap11.1594,0
evm.model.Ap11.1595,0
evm.model.Ap11.1596,0
evm.model.Ap11.1597,0
evm.model.Ap11.1626,0
evm.model.Ap11.1624,0
evm.model.Ap11.1625,0
evm.model.Ap11.1622,0
evm.model.Ap11.1623,0
evm.model.Ap11.1234,0
evm.model.Ap11.1237,0
evm.model.Ap11.1236,0
evm.model.Ap11.1231,0
evm.model.Ap11.1230,0
evm.model.Ap11.1233,0
evm.model.Ap11.1239,0
evm.model.Ap11.620,0
evm.model.Ap11.621,0
evm.model.Ap11.622,0
evm.model.Ap11.623,0
evm.model.Ap11.624,0
evm.model.Ap11.625,0
evm.model.Ap11.626,0
evm.model.Ap11.627,0
evm.model.Ap11.628,0
evm.model.Ap11.629,0
evm.model.Ap11.198,0
evm.model.Ap11.199,0
evm.model.Ap11.192,0
evm.model.Ap11.190,0
evm.model.Ap11.191,0
evm.model.Ap11.196,0
evm.model.Ap11.197,0
evm.model.Ap11.194,0
evm.model.Ap11.1129,0
evm.model.Ap11.1128,0
evm.model.Ap11.1125,0
evm.model.Ap11.1124,0
evm.model.Ap11.1127,0
evm.model.Ap11.1126,0
evm.model.Ap11.1121,0
evm.model.Ap11.1120,0
evm.model.Ap11.1123,0
evm.model.Ap11.1122,0
evm.model.Ap11.124_evm.model.Ap11.120,0
evm.model.Ap11.124_evm.model.Ap11.120.1.5f1685ae,0
evm.model.Ap11.1329,0
evm.model.Ap11.1328,0
evm.model.Ap11.1327,0
evm.model.Ap11.1326,0
evm.model.Ap11.1325,0
evm.model.Ap11.1324,0
evm.model.Ap11.1323,0
evm.model.Ap11.1322,0
evm.model.Ap11.1321,0
evm.model.Ap11.1320,0
evm.model.Ap11.1495,0
evm.model.Ap11.1494,0
evm.model.Ap11.1497.1.5f15de07,0
evm.model.Ap11.1497,0
evm.model.Ap11.1496,0
evm.model.Ap11.1491,0
evm.model.Ap11.1490,0
evm.model.Ap11.1493,0
evm.model.Ap11.1492,0
evm.model.Ap11.1499,0
evm.model.Ap11.1498.1.5f15de0a,0
evm.model.Ap11.1498,0
evm.model.Ap11.1868,0
evm.model.Ap11.1869,0
evm.model.Ap11.1864,0
