Preferred_name	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	diffexpressed	GOs
g1806	1.60688522537427e-31	-2.0491799816397	0.674	0.905	3.32930549845295e-27	apo	-
APOB	4.25664825796556e-25	0.654217951412051	0.963	0.929	8.81934952567885e-21	sym	GO:0000003,GO:0000323,GO:0001101,GO:0001523,GO:0001568,GO:0001701,GO:0001944,GO:0002218,GO:0002221,GO:0002224,GO:0002237,GO:0002253,GO:0002376,GO:0002682,GO:0002684,GO:0002757,GO:0002758,GO:0002764,GO:0003674,GO:0005102,GO:0005215,GO:0005319,GO:0005488,GO:0005515,GO:0005539,GO:0005543,GO:0005575,GO:0005576,GO:0005615,GO:0005622,GO:0005623,GO:0005737,GO:0005764,GO:0005768,GO:0005769,GO:0005773,GO:0005775,GO:0005783,GO:0005788,GO:0005789,GO:0005790,GO:0005829,GO:0005886,GO:0006066,GO:0006464,GO:0006629,GO:0006638,GO:0006639,GO:0006641,GO:0006642,GO:0006720,GO:0006721,GO:0006807,GO:0006810,GO:0006869,GO:0006897,GO:0006898,GO:0006928,GO:0007154,GO:0007165,GO:0007275,GO:0007276,GO:0007283,GO:0007399,GO:0008104,GO:0008150,GO:0008152,GO:0008201,GO:0008202,GO:0008203,GO:0008289,GO:0009056,GO:0009057,GO:0009058,GO:0009059,GO:0009566,GO:0009605,GO:0009607,GO:0009615,GO:0009617,GO:0009653,GO:0009719,GO:0009725,GO:0009743,GO:0009790,GO:0009791,GO:0009792,GO:0009889,GO:0009893,GO:0009987,GO:0010008,GO:0010033,GO:0010035,GO:0010269,GO:0010468,GO:0010604,GO:0010628,GO:0010743,GO:0010744,GO:0010876,GO:0010883,GO:0010884,GO:0010885,GO:0010886,GO:0012505,GO:0012506,GO:0014070,GO:0015031,GO:0015248,GO:0015833,GO:0015850,GO:0015918,GO:0016020,GO:0016042,GO:0016043,GO:0016101,GO:0016125,GO:0016192,GO:0016477,GO:0017127,GO:0019216,GO:0019218,GO:0019222,GO:0019433,GO:0019538,GO:0019899,GO:0019953,GO:0022414,GO:0022607,GO:0023052,GO:0030135,GO:0030136,GO:0030139,GO:0030163,GO:0030301,GO:0030317,GO:0030659,GO:0030662,GO:0030665,GO:0030666,GO:0030669,GO:0031090,GO:0031347,GO:0031349,GO:0031410,GO:0031904,GO:0031974,GO:0031982,GO:0031983,GO:0031984,GO:0032355,GO:0032496,GO:0032501,GO:0032502,GO:0032504,GO:0032870,GO:0032879,GO:0032991,GO:0032994,GO:0033036,GO:0033344,GO:0033993,GO:0034097,GO:0034358,GO:0034359,GO:0034360,GO:0034361,GO:0034362,GO:0034363,GO:0034367,GO:0034368,GO:0034369,GO:0034370,GO:0034371,GO:0034374,GO:0034377,GO:0034378,GO:0034379,GO:0034381,GO:0034382,GO:0034383,GO:0034385,GO:0034447,GO:0034612,GO:0034645,GO:0034694,GO:0035239,GO:0035295,GO:0035473,GO:0036211,GO:0036477,GO:0040011,GO:0042157,GO:0042158,GO:0042159,GO:0042175,GO:0042221,GO:0042592,GO:0042627,GO:0042632,GO:0042886,GO:0042953,GO:0043009,GO:0043025,GO:0043062,GO:0043167,GO:0043168,GO:0043170,GO:0043202,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043412,GO:0043687,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044249,GO:0044255,GO:0044260,GO:0044267,GO:0044281,GO:0044297,GO:0044421,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044433,GO:0044437,GO:0044440,GO:0044444,GO:0044446,GO:0044464,GO:0044703,GO:0044872,GO:0045088,GO:0045089,GO:0045184,GO:0045334,GO:0045540,GO:0045595,GO:0045597,GO:0046461,GO:0046464,GO:0046486,GO:0046503,GO:0046890,GO:0048232,GO:0048514,GO:0048518,GO:0048522,GO:0048583,GO:0048584,GO:0048609,GO:0048731,GO:0048844,GO:0048856,GO:0048870,GO:0048878,GO:0050750,GO:0050776,GO:0050778,GO:0050789,GO:0050793,GO:0050794,GO:0050810,GO:0050896,GO:0050900,GO:0051094,GO:0051179,GO:0051234,GO:0051674,GO:0051704,GO:0051707,GO:0051716,GO:0055088,GO:0055092,GO:0060205,GO:0060255,GO:0060840,GO:0061024,GO:0062012,GO:0065003,GO:0065005,GO:0065007,GO:0065008,GO:0070013,GO:0070325,GO:0070542,GO:0070887,GO:0070971,GO:0071229,GO:0071310,GO:0071345,GO:0071356,GO:0071379,GO:0071396,GO:0071398,GO:0071495,GO:0071682,GO:0071702,GO:0071704,GO:0071705,GO:0071825,GO:0071827,GO:0071830,GO:0071840,GO:0071944,GO:0072358,GO:0072359,GO:0080090,GO:0080134,GO:0090181,GO:0097006,GO:0097367,GO:0097458,GO:0097708,GO:0097722,GO:0098588,GO:0098657,GO:0098805,GO:0098827,GO:0106118,GO:1901360,GO:1901564,GO:1901565,GO:1901566,GO:1901575,GO:1901576,GO:1901615,GO:1901681,GO:1901700,GO:1901701,GO:1902652,GO:1902930,GO:1905952,GO:1905954,GO:1990777
c5	2.83221424979189e-21	1.22689284787465	0.689	0.481	5.86806470414382e-17	sym	-
Unc.89	4.78371501323408e-20	0.842877154319096	0.807	0.568	9.91137913591969e-16	sym	GO:0003674,GO:0005488,GO:0005515,GO:0005523,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006996,GO:0007010,GO:0007525,GO:0007527,GO:0008092,GO:0008104,GO:0008150,GO:0009653,GO:0009987,GO:0010927,GO:0016043,GO:0019899,GO:0019900,GO:0019901,GO:0022607,GO:0030016,GO:0030017,GO:0030029,GO:0030036,GO:0030154,GO:0030239,GO:0031032,GO:0031430,GO:0031672,GO:0032502,GO:0032989,GO:0033036,GO:0033365,GO:0034613,GO:0036309,GO:0042692,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043292,GO:0044085,GO:0044422,GO:0044424,GO:0044444,GO:0044449,GO:0044464,GO:0045214,GO:0048468,GO:0048646,GO:0048856,GO:0048869,GO:0051146,GO:0051179,GO:0051641,GO:0055001,GO:0055002,GO:0061061,GO:0070727,GO:0070925,GO:0071840,GO:0097435,GO:0099080,GO:0099081,GO:0099512
MFI2.3	1.58586409837825e-13	0.421072644908729	0.967	0.917	3.28575182542989e-09	sym	GO:0000041,GO:0003674,GO:0005488,GO:0005506,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005769,GO:0005783,GO:0005788,GO:0005886,GO:0005911,GO:0005918,GO:0006464,GO:0006807,GO:0006810,GO:0006811,GO:0006812,GO:0006826,GO:0007043,GO:0007162,GO:0007610,GO:0007635,GO:0008150,GO:0008152,GO:0009605,GO:0009607,GO:0009620,GO:0009893,GO:0009986,GO:0009987,GO:0010468,GO:0010604,GO:0010628,GO:0010715,GO:0010721,GO:0010755,GO:0010756,GO:0010769,GO:0010771,GO:0010810,GO:0010812,GO:0010954,GO:0012505,GO:0016020,GO:0016043,GO:0019222,GO:0019538,GO:0019991,GO:0022603,GO:0022604,GO:0022607,GO:0030001,GO:0030054,GO:0030155,GO:0030162,GO:0031224,GO:0031225,GO:0031226,GO:0031323,GO:0031325,GO:0031410,GO:0031974,GO:0031982,GO:0032268,GO:0032270,GO:0034329,GO:0034330,GO:0036211,GO:0042048,GO:0042221,GO:0043167,GO:0043169,GO:0043170,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043296,GO:0043297,GO:0043412,GO:0043687,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044444,GO:0044446,GO:0044459,GO:0044464,GO:0045216,GO:0045595,GO:0045596,GO:0045862,GO:0046658,GO:0046872,GO:0046914,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051093,GO:0051128,GO:0051129,GO:0051130,GO:0051171,GO:0051173,GO:0051179,GO:0051234,GO:0051246,GO:0051247,GO:0051704,GO:0051707,GO:0055037,GO:0060255,GO:0060284,GO:0065007,GO:0070013,GO:0070160,GO:0070613,GO:0071704,GO:0071840,GO:0071944,GO:0080090,GO:0090091,GO:0097286,GO:0097708,GO:1900024,GO:1900025,GO:1901564,GO:1903053,GO:1903055,GO:1903317,GO:1903319
g25991	2.26258777532081e-12	1.68769664854674	0.441	0.195	4.68785561168718e-08	sym	NA
EDIL3.9	1.7317263547378e-11	0.580379749027769	0.685	0.49	3.58796383438124e-07	sym	GO:0003674,GO:0005102,GO:0005178,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0008150,GO:0010810,GO:0010811,GO:0030155,GO:0044877,GO:0045785,GO:0048518,GO:0050789,GO:0050839,GO:0065007
g25112	2.11507048318852e-11	0.601426504002911	0.656	0.452	4.38221453411829e-07	sym	NA
IFI30.1	7.20330334462869e-11	-1.72244174648431	0.367	0.635	1.49245241997362e-06	apo	GO:0000323,GO:0002376,GO:0002474,GO:0002478,GO:0002495,GO:0002504,GO:0003674,GO:0003824,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0005764,GO:0005773,GO:0005775,GO:0005829,GO:0006950,GO:0006952,GO:0006955,GO:0007154,GO:0007165,GO:0007166,GO:0008150,GO:0008152,GO:0008285,GO:0009987,GO:0010033,GO:0015036,GO:0016491,GO:0016651,GO:0016667,GO:0016668,GO:0019221,GO:0019882,GO:0019884,GO:0019886,GO:0023052,GO:0030054,GO:0031647,GO:0031974,GO:0034097,GO:0034341,GO:0042127,GO:0042221,GO:0042590,GO:0043202,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044422,GO:0044424,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0045087,GO:0047134,GO:0048002,GO:0048145,GO:0048147,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0050821,GO:0050896,GO:0051716,GO:0055114,GO:0060333,GO:0065007,GO:0065008,GO:0070013,GO:0070887,GO:0071310,GO:0071345,GO:0071346
g13322	1.19451996074422e-09	1.62446396334789	0.393	0.174	2.47492590666595e-05	sym	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006536,GO:0006537,GO:0006541,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009987,GO:0015930,GO:0016053,GO:0016491,GO:0016638,GO:0019676,GO:0019740,GO:0019752,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046394,GO:0055114,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607
