Preferred_name,pval
Unc.89,382.310327419541
g24497,378.663714374356
CEBPA,342.830766706138
htl,288.6738187545
EPDR1.1,287.047423799643
g21999,283.399117373892
APOB,278.871782892128
DST,263.766716056238
unc.54,260.380323434035
g25521,230.850817131312
g1806,-224.848129680969
MYH9,215.143694866303
IAH1,214.756936551317
g21960,205.538443800204
FAXC.1,204.033022455801
g24753,201.917148820184
g30147,192.608675073897
beta.Spec,185.26403900762
COL4A1,174.937099678029
EZR,173.578307603912
EDIL3.9,172.850216184037
c5,171.517812057691
MFI2.3,160.63219135407
WDR41.3,158.090321394014
CSRP1.1,144.700974658007
ASS1,142.466903296469
NRCAM.1,132.855907364232
NFAT5,129.977024669233
g8256,127.269908562609
g4358,119.764372609674
g13322,115.717698184167
Tspan18,113.757566670324
g14259,-113.296664829725
COL2A1,107.474026579977
PTPRM,106.715022335548
g24461,106.209563162864
AKAP9,105.958338649615
g20254,103.562497837355
RPL38,100.558149602122
g22237,99.9810329030544
g18493,99.6083808765386
g25112,98.3727487104226
g20264,98.1301197024057
RPL4,91.1371242760911
RPL7A,90.7211313765083
g14047,88.7973672622384
GBA,87.9963204162521
g9535,87.2236431246239
g29127,86.6484840705941
eef1g,84.1935198823975
g16586,84.0644075011644
g3542,83.7106182126892
PABPC4,82.2302819491994
RPL29,79.9163588811483
RPS14,79.8843234298723
ACTG1.2,78.8703213580113
g19394,78.7261090065972
g901,78.1511387337437
g15701,77.9831244136862
RPL14,77.4842183178514
g23153,77.3914198285106
TAGLN3,77.0888692712139
RPL13A,76.9455327469654
GNB2L1,74.8270824064526
g25991,74.5767506668154
COF1.5,74.4117008410107
COL4A1.1,72.4321986587992
SPTAN1,72.0128885489597
LLGL1,71.3475923874861
g16218,70.6212922787366
RPL27,70.3940042796883
Tm1,70.1771425330541
g26348,70.1190518071302
SCP1,69.5149941381434
g22367,69.3758100006226
g20240,69.1231955007046
g14324,68.903091464391
CALML3,68.2008840490451
RPS27L,67.0708605306066
RPL18A,65.2802619181502
CSTB,64.7074312994586
dbi,64.1812619406105
cib,64.0609052290177
RpS27A,63.9487620118592
rpl.41,63.3404050833715
g6244,61.7443561351973
SULF1,60.5901711292932
RPS3,-59.6057692752358
rpl26l1,59.3909101818804
g24017,59.3614830738874
PKHD1L1,59.3029705415883
RPS21,57.6016288037702
g14893,57.3870363632301
PXDN,56.7105269210683
RPL18,-56.5871135221986
g8518,55.800106520669
RPL7,-55.5511996386713
CENPF,55.5066314178389
hil.1,53.9328346017597
SLC34A2,53.7184689804133
HSP90B1,-53.4558289681398
RPS10,-52.9025773695049
AHCY,-52.70655963544
CRYAB.1,-52.5069766926995
g24496,51.5816611809617
g25509,51.3170577283936
PISD,50.9334295008614
FAU,-50.0135455494207
CNKSR1,49.9977151173541
RpS4,-49.6472963783384
g24460,49.6007625860355
RPL21,49.590901781849
TUBA3D.6,49.4325342709253
HSPA5,-49.1599833426232
RPS6,-49.1361888163053
grdn.1,49.0512751208138
RpL23A,-48.7641177673163
npm1,48.6179343690028
CROCC.1,48.3889409746345
g3974,-48.1600533689983
FPR2.1,-48.1402206975698
g24422,47.985075783844
NPC2.4,47.8566822713658
RPLP1,-47.5158664700869
EFB1,-47.3086821149157
HEBP2,-47.2352910247211
CDC42BPA,46.8643888933491
SLC25A31.1,46.3106578066933
MKI67,46.1274491790412
ATP5B,-45.9880979470101
RPL15,-45.8010609659878
RPL10A.1,45.7787283908899
Cyp1,-45.6859010786439
RPL13,-45.6418985750249
g6517,45.2511146839564
g20696,44.3364546833251
RPL23,-44.1892014511442
g15033,43.9585433898399
RpL37A,-42.8051671669628
ELF2,42.7052930359917
BAG4,-42.588770663834
EEF1D,-42.5793701086086
rps17,-42.0342456590714
RPL17,-41.791762823506
AGRN.1,-41.378421386655
RPS3A,-41.1816742196861
ANKS3,41.1242837905683
LMO7,40.8887805580803
RPLP0,-40.7923250989273
RPL27A,-40.0466009148546
RPS19,-40.0355547925201
Fim,39.7861550722388
ENDOU,39.6685789990639
RpL10,-39.5793639618555
RPL28,-39.4131380725916
EIF4A2,-39.2108656953928
hisC,38.694526307403
XIRP2,38.4430815151999
g20747,38.1306698555246
RPS25,-37.9482838833986
g10219,-37.7435282081162
g11010,37.6902698858416
g11914,37.5036355975047
g570,-37.4870726486437
NSA2,-37.3320883405614
g27329,37.2880551123033
CDC42,37.1646244990628
g30216,36.9004895934469
FTH1.1,-36.8742004085209
RPL19,-36.8280950108777
RPL12,-36.3393422184429
g12827,-35.7956159726782
g17566,35.7510843742977
RPS13,-35.5058848584748
TMSB10,-35.4433975385768
RPS8,-35.407563279224
g26814,35.1881963107302
RSL24D1,-35.1152447531382
g1082,34.7974310554414
RPS26,-34.5045544026595
HYOU1,-34.4819232189419
g18977,34.3620400412953
DBNL,34.3177062838019
GRN.2,-34.2822863529267
TNRC18,33.771337990427
g11089,33.7358330916455
g20245,33.7019094299787
RAC2,33.651568629348
FOSL2.2,-33.6142233923485
MLLT4,33.423978062484
SLK,33.4182083886689
RPL6,-33.3758565141281
g8814,33.3410921387481
rps15a,-33.3127635526803
g10138,33.2804396050241
CTSZ,-33.0946551014805
RPS23,-32.9693089752821
RpL3,-32.8588261322555
ANKRD7,32.5712230475086
MFI2.5,32.3286804647521
pyd,31.6509117784362
g18583,31.6193244574682
ISYNA1,31.4311091898501
g2185,31.4290539266806
CD59.2,31.0910704469178
rps9,-31.0835775134481
RPS5,-31.0789585892048
FKBP3,30.976854882211
NFE2L1,-30.8574731346848
RPL24,-30.2616786944341
RPL36,-30.2259429706282
RpL35,-30.0496854118226
HSPA8,-30.0372180112451
RPL37,-29.8910067994634
ARHGEF12,29.8693512565861
g4949,29.8205208616804
RpL8,-29.7129776429199
rps24,-29.5282420606957
RPS16,-28.9537248065132
g28613,28.9414385202197
RpS20,-28.8965059577609
RPL11,-28.8686069838807
g26166,28.8324050015311
CALR,-28.0163719046603
uba52,-27.9465422163626
CD302.1,27.8962053901524
CYCS,-27.7795819119764
NAGA.2,27.7677735193656
VAT1,27.3306352523385
HSF1,-27.1743752858266
FK506.bp2,27.1122962819362
g9620,27.001809458902
MYC,-26.9984806478122
g537,26.9890130193352
RPS28,-26.9255388039617
g4327,26.6681478110748
add.1,26.6495218838846
g24009,26.2357482626669
PAX1,25.9179450788373
UTRN,25.803292586479
JUN.1,-25.7890711836055
YTHDC1,25.7169068668982
Fdh,25.6978892781603
RPL11.1,-25.5508141757829
NACA,-25.4537390455984
COL7A1,25.3658357848817
CPT1B,25.232002941683
HNF4A,25.1743268938239
Klf12,24.900995518343
g12655,-24.885271484698
g25828,24.8719410640602
EF1a.F2,-24.8619090771306
rps29,-24.8495802010633
g28399,24.7819110843308
RpS11,-24.7519728350422
SSR2,24.7203955005534
eif5a2,-24.4679571235977
g28765,-24.4389930688806
g20748,24.4225230096662
CTSF,24.4149818393285
Sh3bgrl3.1,24.0475066136768
RpS15,-24.000642763259
RPL31,-23.9950417388172
g18093,-23.8628599362586
NDUFA4,-23.7662190881114
PRDX5,-23.63020963425
g15827,23.4024954755996
g25603,23.302230987976
RPL9,-23.2777008295879
IQGAP1,23.2398636556998
g24055,23.072300319222
LGMN,23.0701102828309
BSG.1,23.0164805304653
g22746,-22.9910397320907
g16084,-22.9206386185854
DLC1,-22.6759234043692
CA13.2,22.3474507709904
BZRAP1,22.2169195895085
PRKG1,22.1460905397672
Nurf.38,22.1405026726365
ESYT3.2,22.1240564352412
PPP1R12C,22.0850958315534
g29466,22.0749464845936
EEF2,-22.0626979413509
DAG1,22.0277452595218
GNB4,22.0169184866641
RPL10A,-22.0135065378638
g4462,21.7467023391896
g17216,21.6497383026192
TRIO,-21.5617747124478
CORO1C,-21.4612560607322
g26050,21.4597158950417
NPC2,21.3072022232868
NPC2.3,21.2751681459741
ANO4,21.0931444218095
NPC1L1,-21.0389844851681
RECK,21.0272336931727
COL6A3,20.8365514954468
g18632,-20.8349158837572
rps18,-20.7269020409868
g22402,20.6575274170897
RPLP2,-20.5627012179199
g22615,-20.5363899042621
g7749,20.4930476749878
SREBF2,20.4847318715481
GRP1,20.2053117681473
g22246,-20.116698777014
pplD2,20.0537579718971
ASL,19.9989037002815
TTC3.1,19.5088732166381
g14956,19.4968722460248
SMC4,19.4603998301679
SMTNL1,19.4432861499795
