Preferred_name	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	diffexpressed	GOs
g1806	8.29282153219953e-78	-2.28415727789305	0.784	0.938	1.71818969325642e-73	apo	-
unc.54	1.14330252377503e-35	1.00887538976038	0.809	0.594	2.36880849900949e-31	sym	GO:0000003,GO:0000146,GO:0001667,GO:0002064,GO:0002065,GO:0002066,GO:0003006,GO:0003008,GO:0003012,GO:0003674,GO:0003774,GO:0003779,GO:0003824,GO:0005198,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005694,GO:0005700,GO:0005703,GO:0005737,GO:0005856,GO:0005859,GO:0005863,GO:0006928,GO:0006936,GO:0006996,GO:0007010,GO:0007015,GO:0007154,GO:0007165,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0007297,GO:0007298,GO:0007517,GO:0007525,GO:0007527,GO:0007610,GO:0007626,GO:0007631,GO:0008092,GO:0008150,GO:0008307,GO:0009653,GO:0009888,GO:0009987,GO:0010631,GO:0010927,GO:0014866,GO:0015629,GO:0016043,GO:0016459,GO:0016460,GO:0016462,GO:0016477,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0018991,GO:0019098,GO:0019953,GO:0022412,GO:0022414,GO:0022607,GO:0023052,GO:0030016,GO:0030017,GO:0030029,GO:0030036,GO:0030154,GO:0030239,GO:0030241,GO:0030707,GO:0030855,GO:0030898,GO:0031032,GO:0031033,GO:0031034,GO:0031647,GO:0031672,GO:0032501,GO:0032502,GO:0032504,GO:0032956,GO:0032970,GO:0032982,GO:0032989,GO:0032991,GO:0033043,GO:0034622,GO:0035556,GO:0036379,GO:0040011,GO:0042623,GO:0042692,GO:0042755,GO:0042802,GO:0042803,GO:0043050,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043254,GO:0043292,GO:0043519,GO:0043520,GO:0043900,GO:0043902,GO:0043933,GO:0044085,GO:0044087,GO:0044422,GO:0044424,GO:0044427,GO:0044430,GO:0044444,GO:0044446,GO:0044449,GO:0044464,GO:0044703,GO:0044877,GO:0045214,GO:0046983,GO:0048017,GO:0048468,GO:0048477,GO:0048513,GO:0048518,GO:0048609,GO:0048646,GO:0048731,GO:0048856,GO:0048869,GO:0048870,GO:0050789,GO:0050794,GO:0050821,GO:0050896,GO:0051015,GO:0051128,GO:0051146,GO:0051179,GO:0051239,GO:0051240,GO:0051493,GO:0051674,GO:0051704,GO:0051716,GO:0055001,GO:0055002,GO:0060278,GO:0060279,GO:0060361,GO:0060429,GO:0061061,GO:0065003,GO:0065007,GO:0065008,GO:0070925,GO:0071688,GO:0071689,GO:0071840,GO:0090130,GO:0090132,GO:0097435,GO:0098687,GO:0099080,GO:0099081,GO:0099512,GO:2000241,GO:2000243
g21999	1.3198708005654e-30	0.704201389049492	0.817	0.731	2.73464031169145e-26	sym	NA
g24461	2.83836372843804e-29	2.36830902844017	0.359	0.115	5.88080580895077e-25	sym	NA
CTSZ	4.73312126260769e-28	-1.88083167351957	0.392	0.63	9.80655394399688e-24	apo	GO:0000003,GO:0000323,GO:0001763,GO:0001775,GO:0001990,GO:0001991,GO:0002002,GO:0002003,GO:0002009,GO:0002119,GO:0002164,GO:0002252,GO:0002263,GO:0002274,GO:0002275,GO:0002283,GO:0002366,GO:0002376,GO:0002443,GO:0002444,GO:0002446,GO:0003006,GO:0003008,GO:0003013,GO:0003044,GO:0003073,GO:0003081,GO:0003674,GO:0003824,GO:0004175,GO:0004180,GO:0004197,GO:0005575,GO:0005576,GO:0005615,GO:0005622,GO:0005623,GO:0005737,GO:0005764,GO:0005773,GO:0005783,GO:0005788,GO:0005793,GO:0005798,GO:0005886,GO:0005938,GO:0006508,GO:0006518,GO:0006807,GO:0006810,GO:0006887,GO:0006888,GO:0006900,GO:0006901,GO:0006903,GO:0006955,GO:0006996,GO:0007275,GO:0007399,GO:0007548,GO:0008015,GO:0008150,GO:0008152,GO:0008217,GO:0008233,GO:0008234,GO:0008238,GO:0008284,GO:0008406,GO:0009056,GO:0009057,GO:0009653,GO:0009790,GO:0009791,GO:0009792,GO:0009886,GO:0009887,GO:0009888,GO:0009892,GO:0009986,GO:0009987,GO:0010171,GO:0010467,GO:0010468,GO:0010605,GO:0010629,GO:0010721,GO:0010755,GO:0010757,GO:0010817,GO:0010941,GO:0010942,GO:0010955,GO:0010975,GO:0010977,GO:0012505,GO:0016020,GO:0016043,GO:0016050,GO:0016192,GO:0016485,GO:0016486,GO:0016787,GO:0018996,GO:0019222,GO:0019538,GO:0022008,GO:0022404,GO:0022414,GO:0022607,GO:0030134,GO:0030135,GO:0030141,GO:0030154,GO:0030162,GO:0030163,GO:0030323,GO:0030324,GO:0030424,GO:0030426,GO:0030427,GO:0031012,GO:0031090,GO:0031323,GO:0031324,GO:0031344,GO:0031345,GO:0031410,GO:0031974,GO:0031982,GO:0031983,GO:0032091,GO:0032268,GO:0032269,GO:0032501,GO:0032502,GO:0032940,GO:0033116,GO:0033267,GO:0034641,GO:0034774,GO:0035239,GO:0035262,GO:0035295,GO:0035580,GO:0036230,GO:0040025,GO:0040032,GO:0042119,GO:0042127,GO:0042303,GO:0042395,GO:0042445,GO:0042581,GO:0042981,GO:0042995,GO:0043005,GO:0043065,GO:0043067,GO:0043068,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043299,GO:0043312,GO:0043393,GO:0043523,GO:0043525,GO:0043603,GO:0043933,GO:0044085,GO:0044092,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044421,GO:0044422,GO:0044424,GO:0044432,GO:0044433,GO:0044444,GO:0044446,GO:0044448,GO:0044463,GO:0044464,GO:0045055,GO:0045137,GO:0045321,GO:0045595,GO:0045596,GO:0045664,GO:0045665,GO:0045861,GO:0046903,GO:0046907,GO:0048193,GO:0048194,GO:0048199,GO:0048207,GO:0048208,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048569,GO:0048608,GO:0048699,GO:0048729,GO:0048731,GO:0048754,GO:0048856,GO:0048869,GO:0050767,GO:0050768,GO:0050789,GO:0050793,GO:0050794,GO:0050886,GO:0050896,GO:0051093,GO:0051098,GO:0051100,GO:0051128,GO:0051129,GO:0051171,GO:0051172,GO:0051179,GO:0051234,GO:0051239,GO:0051241,GO:0051246,GO:0051248,GO:0051603,GO:0051604,GO:0051640,GO:0051641,GO:0051648,GO:0051649,GO:0051650,GO:0051656,GO:0051960,GO:0051961,GO:0060102,GO:0060205,GO:0060255,GO:0060284,GO:0060425,GO:0060429,GO:0060441,GO:0060541,GO:0060562,GO:0061024,GO:0061138,GO:0061458,GO:0062023,GO:0065003,GO:0065007,GO:0065008,GO:0065009,GO:0070011,GO:0070013,GO:0070613,GO:0071704,GO:0071840,GO:0071944,GO:0080090,GO:0090114,GO:0097458,GO:0097708,GO:0098588,GO:0099503,GO:0099568,GO:0099738,GO:0101002,GO:0120025,GO:0120035,GO:0120038,GO:0140096,GO:0150034,GO:1901214,GO:1901216,GO:1901564,GO:1901565,GO:1901575,GO:1903317,GO:1903318,GO:1904813,GO:2000026,GO:2000177,GO:2000179
g24753	2.47240903775409e-26	0.765589682688647	0.653	0.438	5.1225842853227e-22	sym	-
CRYAB.1	1.40428651892584e-25	-6.4038031077792	0.015	0.248	2.90954123856245e-21	apo	GO:0000003,GO:0000165,GO:0000226,GO:0000302,GO:0000502,GO:0001101,GO:0001540,GO:0001558,GO:0001654,GO:0001666,GO:0001817,GO:0001819,GO:0001932,GO:0001933,GO:0002088,GO:0002931,GO:0003008,GO:0003012,GO:0003674,GO:0003779,GO:0004857,GO:0004860,GO:0005080,GO:0005198,GO:0005212,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005739,GO:0005759,GO:0005794,GO:0005829,GO:0005856,GO:0005886,GO:0006417,GO:0006446,GO:0006457,GO:0006464,GO:0006468,GO:0006469,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006886,GO:0006915,GO:0006928,GO:0006936,GO:0006950,GO:0006952,GO:0006979,GO:0006986,GO:0006996,GO:0007010,GO:0007017,GO:0007018,GO:0007021,GO:0007154,GO:0007165,GO:0007166,GO:0007167,GO:0007169,GO:0007275,GO:0007399,GO:0007423,GO:0007517,GO:0007525,GO:0007565,GO:0007568,GO:0008017,GO:0008047,GO:0008064,GO:0008088,GO:0008089,GO:0008092,GO:0008104,GO:0008150,GO:0008152,GO:0008219,GO:0008340,GO:0008426,GO:0009266,GO:0009314,GO:0009408,GO:0009409,GO:0009605,GO:0009607,GO:0009612,GO:0009615,GO:0009617,GO:0009620,GO:0009628,GO:0009631,GO:0009636,GO:0009653,GO:0009719,GO:0009725,GO:0009889,GO:0009891,GO:0009892,GO:0009893,GO:0009894,GO:0009966,GO:0009968,GO:0009986,GO:0009987,GO:0009991,GO:0010033,GO:0010035,GO:0010212,GO:0010243,GO:0010259,GO:0010332,GO:0010466,GO:0010468,GO:0010506,GO:0010556,GO:0010557,GO:0010563,GO:0010594,GO:0010595,GO:0010604,GO:0010605,GO:0010608,GO:0010629,GO:0010632,GO:0010634,GO:0010639,GO:0010646,GO:0010648,GO:0010720,GO:0010941,GO:0010951,GO:0010970,GO:0010975,GO:0010976,GO:0012501,GO:0012505,GO:0014069,GO:0014070,GO:0015031,GO:0015629,GO:0015630,GO:0015631,GO:0015833,GO:0016020,GO:0016043,GO:0016310,GO:0017022,GO:0019207,GO:0019210,GO:0019219,GO:0019220,GO:0019222,GO:0019538,GO:0019887,GO:0019899,GO:0019900,GO:0019901,GO:0022008,GO:0022414,GO:0022603,GO:0022607,GO:0023014,GO:0023051,GO:0023052,GO:0023057,GO:0030016,GO:0030017,GO:0030018,GO:0030154,GO:0030162,GO:0030234,GO:0030291,GO:0030308,GO:0030334,GO:0030335,GO:0030424,GO:0030425,GO:0030705,GO:0030832,GO:0030833,GO:0030834,GO:0030835,GO:0030837,GO:0031098,GO:0031109,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031328,GO:0031329,GO:0031333,GO:0031344,GO:0031346,GO:0031399,GO:0031400,GO:0031430,GO:0031647,GO:0031667,GO:0031672,GO:0031674,GO:0031974,GO:0031981,GO:0032101,GO:0032103,GO:0032182,GO:0032268,GO:0032269,GO:0032271,GO:0032272,GO:0032279,GO:0032355,GO:0032386,GO:0032387,GO:0032432,GO:0032459,GO:0032460,GO:0032462,GO:0032463,GO:0032501,GO:0032502,GO:0032535,GO:0032651,GO:0032652,GO:0032680,GO:0032731,GO:0032732,GO:0032760,GO:0032879,GO:0032956,GO:0032970,GO:0032991,GO:0033036,GO:0033043,GO:0033218,GO:0033554,GO:0033673,GO:0033993,GO:0034097,GO:0034248,GO:0034599,GO:0034613,GO:0034614,GO:0034622,GO:0035418,GO:0035556,GO:0035690,GO:0035924,GO:0035966,GO:0035994,GO:0036211,GO:0036293,GO:0036477,GO:0038033,GO:0038084,GO:0038089,GO:0040008,GO:0040012,GO:0040017,GO:0042026,GO:0042035,GO:0042108,GO:0042221,GO:0042277,GO:0042325,GO:0042326,GO:0042493,GO:0042534,GO:0042535,GO:0042542,GO:0042594,GO:0042595,GO:0042742,GO:0042802,GO:0042803,GO:0042886,GO:0042981,GO:0042995,GO:0043005,GO:0043010,GO:0043025,GO:0043066,GO:0043067,GO:0043069,GO:0043085,GO:0043086,GO:0043122,GO:0043130,GO:0043154,GO:0043170,GO:0043197,GO:0043204,GO:0043207,GO:0043209,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043242,GO:0043244,GO:0043254,GO:0043281,GO:0043292,GO:0043412,GO:0043434,GO:0043487,GO:0043488,GO:0043535,GO:0043536,GO:0043549,GO:0043933,GO:0044085,GO:0044087,GO:0044092,GO:0044093,GO:0044183,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044297,GO:0044309,GO:0044422,GO:0044424,GO:0044425,GO:0044428,GO:0044429,GO:0044430,GO:0044444,GO:0044446,GO:0044449,GO:0044456,GO:0044459,GO:0044463,GO:0044464,GO:0044703,GO:0044706,GO:0044877,GO:0045184,GO:0045202,GO:0045211,GO:0045595,GO:0045597,GO:0045664,GO:0045666,GO:0045765,GO:0045766,GO:0045859,GO:0045861,GO:0045926,GO:0045936,GO:0046677,GO:0046907,GO:0046983,GO:0048010,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0048585,GO:0048699,GO:0048731,GO:0048856,GO:0048869,GO:0050767,GO:0050769,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0050821,GO:0050832,GO:0050896,GO:0050920,GO:0050921,GO:0051016,GO:0051049,GO:0051051,GO:0051082,GO:0051094,GO:0051128,GO:0051129,GO:0051130,GO:0051171,GO:0051172,GO:0051173,GO:0051174,GO:0051179,GO:0051234,GO:0051239,GO:0051240,GO:0051246,GO:0051247,GO:0051248,GO:0051252,GO:0051259,GO:0051260,GO:0051270,GO:0051272,GO:0051336,GO:0051338,GO:0051346,GO:0051348,GO:0051403,GO:0051493,GO:0051494,GO:0051641,GO:0051649,GO:0051693,GO:0051704,GO:0051707,GO:0051716,GO:0051960,GO:0051962,GO:0052547,GO:0052548,GO:0060255,GO:0060284,GO:0060341,GO:0060548,GO:0060561,GO:0061013,GO:0061061,GO:0061077,GO:0065003,GO:0065007,GO:0065008,GO:0065009,GO:0070013,GO:0070301,GO:0070482,GO:0070542,GO:0070727,GO:0070848,GO:0070887,GO:0071105,GO:0071214,GO:0071229,GO:0071236,GO:0071310,GO:0071345,GO:0071348,GO:0071363,GO:0071396,GO:0071398,GO:0071478,GO:0071479,GO:0071480,GO:0071702,GO:0071704,GO:0071705,GO:0071840,GO:0071900,GO:0071901,GO:0071944,GO:0080090,GO:0080134,GO:0080135,GO:0090066,GO:0097060,GO:0097237,GO:0097447,GO:0097458,GO:0097512,GO:0098542,GO:0098590,GO:0098772,GO:0098794,GO:0098839,GO:0098840,GO:0098930,GO:0098984,GO:0099080,GO:0099081,GO:0099111,GO:0099118,GO:0099512,GO:0099572,GO:0099634,GO:0099640,GO:0099641,GO:0104004,GO:0110053,GO:0120025,GO:0120035,GO:0120038,GO:1900034,GO:1900407,GO:1900408,GO:1901342,GO:1901564,GO:1901652,GO:1901698,GO:1901700,GO:1901701,GO:1901879,GO:1901880,GO:1902175,GO:1902176,GO:1902494,GO:1902531,GO:1902532,GO:1902742,GO:1902882,GO:1902883,GO:1902903,GO:1902904,GO:1903201,GO:1903202,GO:1903311,GO:1903544,GO:1903545,GO:1903555,GO:1903557,GO:1904018,GO:1905368,GO:1905369,GO:1905383,GO:1905906,GO:1905907,GO:1990776,GO:2000026,GO:2000112,GO:2000116,GO:2000117,GO:2000145,GO:2000147,GO:2000377,GO:2000378,GO:2001026,GO:2001028,GO:2001233,GO:2001234,GO:2001242,GO:2001243
GBA	2.10062754934268e-24	1.72843676590252	0.461	0.222	4.35229021948309e-20	sym	GO:0000323,GO:0001817,GO:0001818,GO:0001932,GO:0001933,GO:0003008,GO:0003674,GO:0003824,GO:0004348,GO:0004553,GO:0005102,GO:0005124,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005615,GO:0005622,GO:0005623,GO:0005737,GO:0005764,GO:0005765,GO:0005773,GO:0005774,GO:0005775,GO:0006066,GO:0006469,GO:0006629,GO:0006643,GO:0006664,GO:0006665,GO:0006670,GO:0006672,GO:0006677,GO:0006678,GO:0006680,GO:0006687,GO:0006807,GO:0006914,GO:0006950,GO:0006986,GO:0006996,GO:0007033,GO:0007154,GO:0007275,GO:0007568,GO:0007610,GO:0007611,GO:0007613,GO:0007626,GO:0008150,GO:0008152,GO:0008340,GO:0008344,GO:0008610,GO:0009056,GO:0009058,GO:0009267,GO:0009268,GO:0009410,GO:0009605,GO:0009628,GO:0009653,GO:0009719,GO:0009725,GO:0009887,GO:0009889,GO:0009891,GO:0009892,GO:0009893,GO:0009894,GO:0009896,GO:0009966,GO:0009968,GO:0009987,GO:0009991,GO:0010033,GO:0010259,GO:0010506,GO:0010508,GO:0010556,GO:0010557,GO:0010562,GO:0010563,GO:0010604,GO:0010605,GO:0010638,GO:0010646,GO:0010647,GO:0010648,GO:0010821,GO:0010822,GO:0010941,GO:0014070,GO:0016020,GO:0016042,GO:0016043,GO:0016137,GO:0016139,GO:0016236,GO:0016241,GO:0016787,GO:0016798,GO:0019220,GO:0019222,GO:0019377,GO:0019725,GO:0019751,GO:0019898,GO:0023021,GO:0023051,GO:0023056,GO:0023057,GO:0030104,GO:0030148,GO:0030149,GO:0030162,GO:0030534,GO:0031090,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031328,GO:0031329,GO:0031331,GO:0031333,GO:0031347,GO:0031348,GO:0031399,GO:0031400,GO:0031401,GO:0031644,GO:0031646,GO:0031667,GO:0031668,GO:0031669,GO:0031960,GO:0031974,GO:0032101,GO:0032102,GO:0032268,GO:0032269,GO:0032270,GO:0032434,GO:0032436,GO:0032459,GO:0032460,GO:0032462,GO:0032463,GO:0032501,GO:0032502,GO:0032675,GO:0032715,GO:0033043,GO:0033554,GO:0033561,GO:0033574,GO:0033673,GO:0033993,GO:0034097,GO:0034311,GO:0034312,GO:0034612,GO:0034620,GO:0034641,GO:0035303,GO:0035304,GO:0035306,GO:0035307,GO:0035966,GO:0035967,GO:0042176,GO:0042221,GO:0042325,GO:0042326,GO:0042391,GO:0042493,GO:0042592,GO:0042594,GO:0043086,GO:0043202,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043243,GO:0043244,GO:0043254,GO:0043405,GO:0043407,GO:0043408,GO:0043409,GO:0043549,GO:0043588,GO:0043589,GO:0043603,GO:0043604,GO:0043627,GO:0044057,GO:0044087,GO:0044092,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044249,GO:0044255,GO:0044271,GO:0044281,GO:0044283,GO:0044421,GO:0044422,GO:0044424,GO:0044425,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0045732,GO:0045760,GO:0045859,GO:0045862,GO:0045936,GO:0045937,GO:0046165,GO:0046173,GO:0046466,GO:0046467,GO:0046477,GO:0046479,GO:0046512,GO:0046513,GO:0046514,GO:0046519,GO:0046520,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048545,GO:0048583,GO:0048585,GO:0048731,GO:0048856,GO:0048871,GO:0048878,GO:0050727,GO:0050728,GO:0050746,GO:0050747,GO:0050789,GO:0050790,GO:0050794,GO:0050877,GO:0050878,GO:0050890,GO:0050891,GO:0050896,GO:0051128,GO:0051129,GO:0051130,GO:0051171,GO:0051172,GO:0051173,GO:0051174,GO:0051239,GO:0051240,GO:0051241,GO:0051246,GO:0051247,GO:0051248,GO:0051338,GO:0051348,GO:0051384,GO:0051716,GO:0051969,GO:0051971,GO:0060249,GO:0060255,GO:0060548,GO:0061136,GO:0061919,GO:0065007,GO:0065008,GO:0065009,GO:0070013,GO:0070050,GO:0070887,GO:0071310,GO:0071345,GO:0071356,GO:0071496,GO:0071548,GO:0071704,GO:0071840,GO:0071900,GO:0071901,GO:0080090,GO:0080134,GO:0097066,GO:0097164,GO:0097327,GO:0098588,GO:0098780,GO:0098805,GO:0098852,GO:0098900,GO:0098908,GO:1901135,GO:1901136,GO:1901214,GO:1901215,GO:1901564,GO:1901565,GO:1901566,GO:1901575,GO:1901576,GO:1901615,GO:1901617,GO:1901654,GO:1901657,GO:1901658,GO:1901700,GO:1901800,GO:1901804,GO:1901805,GO:1902531,GO:1902532,GO:1903050,GO:1903052,GO:1903059,GO:1903061,GO:1903146,GO:1903362,GO:1903364,GO:1903509,GO:1903599,GO:1904350,GO:1904457,GO:1904923,GO:1904925,GO:1905037,GO:1905165,GO:2000058,GO:2000060,GO:2000112
CSRP1.1	2.35754818733797e-24	0.787616100294707	0.608	0.513	4.88460408934554e-20	sym	GO:0001085,GO:0001725,GO:0002026,GO:0003008,GO:0003012,GO:0003013,GO:0003015,GO:0003300,GO:0003674,GO:0005198,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005856,GO:0005912,GO:0005924,GO:0005925,GO:0006355,GO:0006357,GO:0006873,GO:0006874,GO:0006875,GO:0006936,GO:0006941,GO:0006996,GO:0007010,GO:0007275,GO:0007399,GO:0007507,GO:0008015,GO:0008016,GO:0008092,GO:0008104,GO:0008134,GO:0008150,GO:0008270,GO:0008307,GO:0009581,GO:0009582,GO:0009605,GO:0009612,GO:0009628,GO:0009653,GO:0009888,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0010830,GO:0010831,GO:0010927,GO:0014706,GO:0014896,GO:0014897,GO:0015629,GO:0016043,GO:0019219,GO:0019222,GO:0019725,GO:0022603,GO:0022607,GO:0030003,GO:0030016,GO:0030017,GO:0030018,GO:0030029,GO:0030036,GO:0030054,GO:0030055,GO:0030154,GO:0030239,GO:0031032,GO:0031252,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031433,GO:0031674,GO:0031974,GO:0031981,GO:0032432,GO:0032501,GO:0032502,GO:0032970,GO:0032989,GO:0033036,GO:0033365,GO:0034613,GO:0035051,GO:0035994,GO:0035995,GO:0042592,GO:0042641,GO:0042692,GO:0042802,GO:0042805,GO:0043167,GO:0043169,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043292,GO:0043425,GO:0043426,GO:0044057,GO:0044085,GO:0044093,GO:0044422,GO:0044424,GO:0044428,GO:0044430,GO:0044444,GO:0044446,GO:0044449,GO:0044464,GO:0045214,GO:0045445,GO:0045595,GO:0045596,GO:0045597,GO:0045661,GO:0045662,GO:0045663,GO:0045893,GO:0045935,GO:0045944,GO:0046872,GO:0046914,GO:0048468,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048646,GO:0048731,GO:0048738,GO:0048856,GO:0048869,GO:0048878,GO:0050789,GO:0050793,GO:0050794,GO:0050801,GO:0050896,GO:0050982,GO:0051090,GO:0051091,GO:0051093,GO:0051094,GO:0051146,GO:0051147,GO:0051149,GO:0051153,GO:0051155,GO:0051171,GO:0051173,GO:0051179,GO:0051219,GO:0051239,GO:0051252,GO:0051254,GO:0051393,GO:0051606,GO:0051641,GO:0055001,GO:0055002,GO:0055003,GO:0055006,GO:0055007,GO:0055013,GO:0055065,GO:0055074,GO:0055080,GO:0055082,GO:0060047,GO:0060048,GO:0060255,GO:0060537,GO:0061061,GO:0061629,GO:0065007,GO:0065008,GO:0065009,GO:0070013,GO:0070161,GO:0070727,GO:0070925,GO:0071840,GO:0072359,GO:0072503,GO:0072507,GO:0080090,GO:0090175,GO:0097435,GO:0097517,GO:0098771,GO:0099080,GO:0099081,GO:0099512,GO:1902680,GO:1903506,GO:1903508,GO:1903522,GO:1903918,GO:1903919,GO:1903920,GO:1905330,GO:2000026,GO:2000027,GO:2000112,GO:2001141
g15701	3.39832913193615e-19	0.747825744958088	0.505	0.325	7.0409981284585e-15	sym	-
