ASV_ID	A5	A6	B6	D5	F4	F5	G4	G5	H4	H5
ASV708	0	0	26	0	0	0	0	0	0	0
ASV709	0	0	26	0	0	0	0	0	0	0
ASV710	0	0	17	0	0	0	0	1	0	0
ASV712	0	0	0	0	19	0	0	0	0	0
ASV713	0	0	0	0	19	0	0	0	0	0
ASV714	0	0	0	0	0	0	18	0	0	0
ASV715	0	0	0	0	0	0	22	0	0	0
ASV716	0	0	0	0	0	0	0	3	0	0
ASV717	0	0	0	0	0	0	0	1	0	0
ASV718	0	0	0	0	0	0	0	0	13	0
ASV719	0	0	0	0	0	0	0	0	17	0
ASV720	0	0	0	0	0	0	0	0	0	25
ASV721	0	0	0	0	0	0	0	0	0	24
ASV722	8	0	0	0	0	0	0	0	0	0
ASV723	0	15	0	0	0	0	0	0	0	0
ASV724	0	9	0	0	0	0	0	0	0	0
ASV725	0	0	25	0	0	0	0	0	0	0
ASV726	0	0	19	0	0	0	0	0	2	0
ASV727	0	0	7	0	0	0	0	0	9	0
ASV728	0	0	0	8	0	7	0	0	0	0
ASV731	0	0	0	0	0	0	17	0	0	0
ASV732	0	0	0	0	0	0	17	0	0	0
ASV733	0	0	0	0	0	0	17	0	0	0
ASV734	0	0	0	0	0	0	0	2	0	0
ASV735	0	0	0	0	0	0	0	3	0	0
ASV736	0	0	0	0	0	0	0	0	19	0
ASV737	0	0	0	0	0	0	0	0	13	0
ASV738	0	0	0	0	0	0	0	0	0	23
ASV739	8	0	0	0	0	0	0	0	0	0
ASV740	0	7	0	0	0	0	0	0	0	0
ASV741	0	8	0	0	0	0	0	0	0	0
ASV742	0	0	24	0	0	0	0	0	0	0
ASV743	0	0	24	0	0	0	0	0	0	0
ASV745	0	0	0	9	0	9	0	0	0	0
ASV747	0	0	0	0	19	0	0	0	0	0
ASV748	0	0	0	0	0	0	0	0	17	0
ASV749	0	0	0	0	0	0	0	0	15	0
ASV750	0	0	0	0	0	0	0	0	16	0
ASV751	0	0	0	0	0	0	0	0	19	0
ASV752	0	0	0	0	0	0	0	0	0	19
ASV753	0	0	0	0	0	0	0	0	0	21
ASV754	0	0	0	0	0	0	0	0	0	21
ASV755	0	0	0	0	0	0	0	0	0	22
ASV756	12	0	0	0	0	0	0	0	0	0
ASV757	0	6	0	0	0	0	0	0	0	0
ASV758	0	0	23	0	0	0	0	0	0	0
ASV759	0	0	23	0	0	0	0	0	0	0
ASV761	0	0	0	8	0	11	0	0	0	0
ASV763	0	0	0	0	14	0	0	0	0	0
ASV764	0	0	0	0	0	0	17	0	0	0
ASV765	0	0	0	0	0	0	17	0	0	0
ASV766	0	0	0	0	0	0	0	0	0	20
ASV767	0	0	0	0	0	0	0	0	0	19
ASV768	0	0	0	0	0	0	0	0	0	23
ASV769	0	0	0	0	0	0	0	0	0	22
ASV770	7	0	0	0	0	0	0	0	0	0
ASV771	12	0	0	0	0	0	0	0	0	0
ASV772	9	0	0	0	0	0	0	0	0	0
ASV773	12	0	0	0	0	0	0	0	0	0
ASV774	8	0	0	0	0	0	0	0	0	0
ASV775	0	9	0	0	0	0	0	0	0	0
ASV776	0	6	0	0	0	0	0	0	0	0
ASV777	0	6	0	0	0	0	0	0	0	0
ASV780	0	0	0	0	0	0	17	0	0	0
ASV781	0	0	0	0	0	0	0	3	0	0
ASV782	0	0	0	0	0	0	0	1	0	6
ASV783	0	0	0	0	0	0	0	0	15	0
ASV784	0	0	0	0	0	0	0	0	11	0
ASV785	0	0	0	0	0	0	0	0	15	0
ASV786	0	0	0	0	0	0	0	0	0	20
ASV787	0	0	0	0	0	0	0	0	0	17
ASV788	0	0	0	0	0	0	0	0	0	20
ASV789	10	0	0	0	0	0	0	0	0	0
ASV790	12	0	0	0	0	0	0	0	0	0
ASV791	0	13	0	0	0	0	0	0	0	0
ASV792	0	14	0	0	0	0	0	0	0	0
ASV793	0	9	0	0	0	0	0	0	0	0
ASV794	0	0	21	0	0	0	0	0	0	0
ASV795	0	0	21	0	0	0	0	0	0	0
ASV797	0	0	0	0	19	0	0	0	0	0
ASV799	0	0	0	0	0	0	0	1	0	0
ASV800	0	0	0	0	0	0	0	3	0	0
ASV801	0	0	0	0	0	0	0	0	13	0
ASV802	0	0	0	0	0	0	0	0	0	19
ASV803	0	0	0	0	0	0	0	0	0	18
ASV804	7	0	0	0	0	0	0	0	0	0
ASV805	12	0	0	0	0	0	0	0	0	0
ASV806	9	0	0	0	0	0	0	0	0	0
ASV807	0	10	0	0	0	0	0	0	0	0
ASV808	0	0	20	0	0	0	0	0	0	0
ASV809	0	0	20	0	0	0	0	0	0	0
ASV810	0	0	0	6	0	6	0	0	0	0
ASV813	0	0	0	0	0	0	0	3	0	0
ASV814	0	0	0	0	0	0	0	0	13	0
ASV816	0	0	0	0	0	0	0	0	0	14
ASV817	0	0	0	0	0	0	0	0	0	17
ASV818	0	0	0	0	0	0	0	0	0	17
ASV819	9	0	0	0	0	0	0	0	0	0
ASV820	8	0	0	0	0	0	0	0	0	0
ASV821	7	0	0	0	0	0	0	0	0	0
ASV822	0	10	0	0	0	0	0	0	0	0
ASV823	0	0	19	0	0	0	0	0	0	0
ASV824	0	0	19	0	0	0	0	0	0	0
ASV825	0	0	19	0	0	0	0	0	0	0
ASV829	0	0	0	0	15	0	0	0	0	0
ASV831	0	0	0	0	0	0	14	0	0	0
ASV832	0	0	0	0	0	0	0	3	0	0
ASV833	0	0	0	0	0	0	0	0	9	0
