ASV_ID	A5	A6	B6	D5	F4	F5	G4	G5	H4	H5
ASV164	0	0	0	0	0	0	0	13	0	0
ASV166	0	37	0	0	0	0	0	0	0	0
ASV167	0	0	0	42	0	28	0	0	0	0
ASV168	0	0	0	32	0	42	0	0	0	0
ASV170	0	0	0	0	84	0	0	0	0	0
ASV171	48	0	0	0	0	0	0	0	0	0
ASV172	10	13	0	0	0	0	35	0	0	0
ASV173	0	0	0	0	47	0	18	0	0	0
ASV175	0	0	0	0	0	0	72	0	0	0
ASV177	16	0	0	0	0	0	34	0	6	18
ASV178	0	26	0	0	0	0	34	0	0	0
ASV180	28	0	0	0	0	0	29	0	0	0
ASV181	0	0	0	0	0	0	74	0	0	2
ASV182	0	0	0	0	45	0	0	0	22	3
ASV183	44	0	0	0	0	0	0	0	0	0
ASV185	0	0	0	0	76	0	0	0	0	0
ASV186	0	0	0	37	0	34	0	0	0	0
ASV187	0	0	0	0	78	0	0	0	0	0
ASV188	0	0	0	0	72	0	0	0	0	0
ASV189	44	0	0	0	0	0	0	0	0	0
ASV190	0	0	98	0	0	0	0	0	0	0
ASV192	0	0	0	27	0	43	0	0	0	0
ASV194	0	0	0	0	0	0	72	0	0	0
ASV196	0	0	0	0	0	0	65	0	0	0
ASV197	0	0	0	0	0	0	47	0	14	0
ASV198	24	0	0	0	0	0	0	0	0	12
ASV199	0	0	0	0	71	0	0	0	0	0
ASV200	0	0	0	0	0	0	0	7	0	53
ASV201	0	24	0	0	0	0	28	0	0	0
ASV202	0	0	87	4	0	2	0	0	0	0
ASV203	0	0	88	0	0	0	0	0	0	6
ASV205	0	0	0	0	69	0	0	0	0	0
ASV206	0	0	0	0	70	0	0	0	0	0
ASV207	0	12	0	9	0	0	0	5	0	0
ASV208	0	12	0	27	0	24	0	0	0	0
ASV210	0	0	0	0	0	0	61	0	0	0
ASV211	0	0	0	0	0	0	73	0	0	0
ASV212	0	0	0	0	0	0	0	18	0	0
ASV213	0	0	0	0	0	0	0	11	0	13
ASV214	0	33	0	0	0	0	0	0	0	0
ASV215	0	0	0	0	0	0	54	0	9	0
ASV218	0	0	0	0	0	0	62	0	0	0
ASV219	35	0	0	0	0	0	0	0	0	0
ASV221	0	0	0	0	70	0	0	0	0	0
ASV222	0	0	0	0	0	0	65	0	0	0
ASV223	0	0	0	0	59	0	0	0	0	0
ASV224	0	0	0	0	0	0	0	11	10	8
ASV225	43	0	0	0	0	0	0	0	0	0
ASV226	0	0	0	0	0	0	0	0	22	45
ASV228	0	0	0	0	0	0	67	0	0	0
ASV229	0	0	0	0	0	0	52	7	0	0
ASV230	0	0	6	0	0	0	0	0	50	0
ASV233	0	0	0	0	60	0	0	0	0	0
ASV234	0	0	0	0	0	0	58	0	0	0
ASV236	0	38	0	0	0	0	0	0	0	0
ASV237	0	0	0	32	0	24	0	0	0	0
ASV238	0	0	0	0	0	0	51	0	0	0
ASV239	34	0	0	0	0	0	0	0	0	0
ASV240	0	20	0	0	19	0	0	0	5	0
ASV241	0	0	0	21	0	31	0	0	0	0
ASV242	0	0	0	0	47	0	0	0	0	8
ASV243	0	0	0	0	0	0	0	13	0	0
ASV244	0	0	0	0	0	0	0	0	38	16
ASV245	6	0	40	0	0	0	0	0	14	0
ASV246	0	0	0	0	56	0	0	0	0	0
ASV248	0	3	0	0	0	0	48	0	0	0
ASV249	0	0	0	0	61	0	0	0	0	0
ASV250	0	0	0	0	62	0	0	0	0	0
ASV251	0	0	0	0	0	0	0	6	0	0
ASV252	0	0	0	0	0	0	0	0	45	0
ASV253	15	26	0	0	0	0	0	0	0	0
ASV256	11	0	0	0	0	0	39	0	0	0
ASV257	0	0	0	29	0	19	0	0	0	0
ASV259	0	0	0	0	18	0	16	3	0	0
ASV260	0	16	16	0	0	0	0	0	8	10
ASV262	0	0	0	0	0	0	62	0	0	0
ASV263	32	0	0	0	0	0	0	0	0	0
ASV264	37	0	0	0	0	0	0	0	0	0
ASV265	0	0	5	22	0	24	0	0	0	0
ASV266	0	0	0	0	53	0	0	0	0	0
ASV267	0	0	0	0	46	0	0	0	0	0
ASV268	0	0	0	0	0	0	50	0	0	0
ASV269	0	0	0	0	0	0	54	0	0	0
ASV270	0	0	0	0	0	0	0	10	0	0
ASV273	7	0	0	0	0	0	35	0	0	0
ASV274	0	0	46	13	0	6	0	0	0	0
ASV275	0	0	0	0	54	0	0	0	0	0
ASV276	0	0	0	0	0	0	0	0	41	0
ASV277	0	16	0	0	0	0	0	0	21	0
ASV278	0	0	36	0	0	17	0	0	0	4
ASV279	0	0	0	0	49	0	0	0	0	0
ASV280	0	0	0	0	56	0	0	0	0	0
ASV281	0	0	0	0	0	0	0	8	0	0
ASV282	0	0	0	0	0	0	0	14	0	0
ASV285	0	0	0	0	0	0	40	0	0	0
ASV287	0	0	0	0	0	0	46	0	0	0
ASV288	26	0	0	0	0	0	0	0	0	0
ASV289	0	0	66	0	0	0	0	0	0	0
ASV291	0	0	0	0	44	0	0	0	0	0
ASV292	0	0	0	0	54	0	0	0	0	0
ASV293	0	0	0	0	0	0	51	0	0	0
ASV294	0	0	0	0	0	0	52	0	0	0
ASV295	0	4	37	0	0	0	0	0	0	19
ASV299	0	0	0	0	39	0	0	0	0	13
ASV300	0	0	0	0	0	0	52	0	0	0
ASV301	27	0	0	0	0	0	0	0	0	0
ASV302	0	0	0	0	43	0	0	0	0	0
ASV303	0	0	0	0	45	0	0	0	0	0
ASV304	25	0	0	0	0	0	0	0	0	0
ASV308	0	0	0	0	0	0	45	0	0	0
ASV309	0	0	0	0	0	0	45	0	0	0
ASV310	12	0	0	0	0	0	19	0	0	0
ASV311	18	0	15	0	0	0	12	0	0	0
ASV312	0	0	0	0	21	0	20	0	0	0
ASV313	26	0	0	0	0	0	0	0	0	0
ASV314	0	0	0	39	0	0	0	0	0	0
ASV316	0	0	0	0	48	0	0	0	0	0
ASV317	0	0	0	0	0	0	41	0	0	0
ASV318	0	0	0	0	0	0	0	17	0	0
ASV319	0	0	0	0	0	0	0	6	0	0
ASV320	0	16	0	0	0	0	0	0	21	0
ASV323	0	0	0	0	0	0	45	0	0	0
ASV325	0	0	0	0	0	0	44	0	0	0
ASV326	0	0	0	0	0	0	0	0	0	53
ASV327	25	0	0	0	0	0	0	0	0	0
ASV328	0	32	0	0	0	0	0	0	0	0
ASV329	0	22	0	0	0	0	0	0	0	0
ASV330	0	0	0	24	0	17	0	0	0	0
ASV332	0	0	0	0	44	0	0	0	0	0
ASV333	0	0	0	0	41	0	0	0	0	0
ASV335	0	0	0	0	0	0	0	5	0	0
ASV336	33	0	0	0	0	0	0	0	0	0
ASV338	30	0	0	0	0	0	0	0	0	0
ASV339	0	22	0	0	0	0	0	0	0	0
ASV340	0	0	0	21	0	18	0	0	0	0
ASV341	0	0	0	18	0	14	0	0	0	0
ASV342	0	0	0	20	0	18	0	0	0	7
ASV345	0	0	0	0	45	0	0	0	0	0
ASV346	0	0	0	0	39	0	0	0	0	0
ASV348	0	0	0	0	0	0	41	0	0	0
ASV349	0	0	0	0	0	0	14	0	11	23
ASV351	26	0	0	0	0	0	0	0	0	0
ASV352	25	0	0	0	0	0	0	0	0	0
ASV353	0	26	0	0	0	0	0	0	0	0
ASV356	0	0	0	0	43	0	0	0	0	0
ASV357	0	0	0	0	46	0	0	0	0	0
ASV358	0	0	0	0	40	0	0	0	0	0
ASV359	0	0	0	0	0	0	42	0	0	0
ASV360	0	0	0	0	0	0	0	8	0	0
ASV361	21	0	0	0	0	0	0	0	0	0
ASV362	22	0	0	0	0	0	0	0	0	0
ASV363	12	0	21	0	0	0	0	0	0	0
ASV364	0	8	0	0	28	0	0	0	0	0
ASV368	0	0	0	0	45	0	0	0	0	0
ASV369	0	0	0	0	30	0	0	0	0	17
ASV370	0	0	0	0	0	0	42	0	0	0
ASV371	0	0	0	0	0	0	0	0	0	47
ASV375	27	0	0	0	0	0	0	0	0	0
ASV376	15	0	0	0	0	0	0	0	10	0
ASV377	0	24	0	0	0	0	0	0	0	0
ASV378	0	0	0	22	0	13	0	0	0	0
ASV381	0	0	0	0	35	0	0	0	0	0
ASV382	0	0	0	0	40	0	0	0	0	0
ASV383	0	0	0	0	0	0	32	0	0	0
ASV384	0	0	0	0	0	0	0	2	0	0
ASV385	0	0	0	0	0	0	0	8	0	0
ASV386	0	0	0	0	0	0	0	0	33	0
ASV387	0	0	0	0	0	0	0	0	1	50
ASV388	22	0	0	0	0	0	0	0	0	0
ASV389	29	0	0	0	0	0	0	0	0	0
ASV390	29	0	0	0	0	0	0	0	0	0
ASV391	24	0	0	0	0	0	0	0	0	0
ASV392	0	27	0	0	0	0	0	0	0	0
ASV394	0	0	0	17	0	21	0	0	0	0
ASV395	0	0	0	0	42	0	0	0	0	0
ASV396	0	0	0	0	0	0	39	0	0	0
ASV397	24	0	0	0	0	0	0	0	0	0
ASV398	28	0	0	0	0	0	0	0	0	0
ASV399	20	4	0	0	0	0	0	0	0	0
ASV400	0	25	0	0	0	0	0	0	0	0
ASV405	0	0	0	0	39	0	0	0	0	0
ASV407	0	0	33	0	0	0	0	0	11	0
ASV409	0	0	0	0	0	0	34	0	0	0
ASV410	0	0	0	0	0	0	0	0	25	0
ASV411	26	0	0	0	0	0	0	0	0	0
ASV412	18	0	0	0	0	0	0	0	0	0
ASV413	26	0	0	0	0	0	0	0	0	0
ASV414	6	0	0	0	22	0	0	0	0	0
ASV415	0	0	0	0	0	0	31	0	0	0
ASV416	0	0	50	0	0	0	0	0	0	0
ASV420	0	0	0	0	39	0	0	0	0	0
ASV421	0	0	0	0	36	0	0	0	0	0
ASV422	0	0	0	0	0	0	40	0	0	0
ASV423	0	0	0	0	0	0	35	0	0	0
ASV424	0	0	0	0	0	0	0	9	0	0
ASV425	25	0	0	0	0	0	0	0	0	0
ASV426	0	22	0	0	0	0	0	0	0	0
ASV427	0	0	49	0	0	0	0	0	0	0
ASV428	0	0	0	12	0	22	0	0	0	0
ASV431	0	0	0	0	36	0	0	0	0	0
ASV432	0	0	0	0	33	0	0	0	0	0
ASV433	0	0	0	0	0	0	0	5	0	0
